T1118,1-1_ཆོས་ཀྱི་དབྱིངས་སུ་བསྟོད་པ།.txt
T4125,16-2_འཕགས་པ་གཞི་ཐམས་ཅད་ཡོད་པར་སྨྲ་བའི་དགེ་ཚུལ་གྱི་ཚིག་ལེའུར་བྱས་པའི་འགྲེལ་པ་འོད་ལྡན།.txt
T1949,17-100_དབྱུག་པ་གཤིན་རྗེ་གཤེད་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས།.txt
T2374,17-101_དཱི་པཾ་ཀ་ར་ཤྲི་ཛྙཱ་ནའི་ཆོས་ཀྱི་གླུ།.txt
T1502,17-102_སྦྱིན་སྲེག་གི་ཆོ་ག.txt
T1497,17-10_སྤྱོད་པའི་གླུའི་འགྲེལ་པ།.txt
TERROR,17-104-17-116_བར་ཆ་ཚང་།.txt
TERROR,17-117-17-120_བར་ཆ་ཚང་།.txt
T1587,17-11_རྡོ་རྗེ་རྣལ་འབྱོར་མ་ལ་བསྟོད་པ།.txt
TERROR,17-121-123_བར་ཆ་ཚང་།.txt
T3007,17-124_བསྒྲུབ་བྱ་ཀླུ་རྣམས་ཀྱི་བྱད་དུ་གཞུག་པའི་ཆོ་ག་སྲོག་གཅོད་ཀྱི་སྤུ་གྲི།.txt
TERROR,17-125-17-126བར་ཆ་ཚང།.txt
T3024,17-127_འཇིག་རྟེན་གྱི་ལྷ་མཉེས་པར་བྱེད་པ་དོན་གྲུབ།.txt
T3031,17-128_ཚོགས་བདག་གི་སྒྲུབ་པ་དབུལ་བའི་གཏེར་སྦྱིན།.txt
TERROR,17-129-133_བར་ཆ་ཚང་།.txt
T1591,17-12_རིན་པོ་ཆེ་རྒྱན་གྱི་སྒྲུབ་པ།.txt
TERROR,17-134-17-137_བར་ཆ་ཚང་།.txt
TERROR,17-138-17-140_བར་ཆ་ཚང་།.txt
T1571,17-13_རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་ཐབས།.txt
T3060,17-144_ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་གཡོ་བ་ལ་བསྟོད་པ།.txt
T3079,17-145_དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་དམ་ཚིག་བསྲུང་བའི་སྒྲུབ་ཐབས།.txt
T3080,17-146_སཱཙྪ་ལྔ་གདབ་པའི་ཆོ་ག.txt
T1550,17-14_དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།.txt
T1693,17-152_འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ།.txt
T1722,17-153_འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས།.txt
T3690,17-154_ཆོམ་རྐུན་བཅིང་བ།.txt
T3961,17-157_མདོ་ཀུན་ལས་བཏུས་པ་ཆེན་པོ།.txt
T4007,17-159_ལས་ཀྱི་སྒྲིབ་པ་རྣམ་པར་སྦྱོང་བའི་ཆོ་ག་བཤད་པ།.txt
T1587,17-15_རྡོ་རྗེ་རྣལ་འབྱོར་མ་ལ་བསྟོད་པ།.txt
T4082,17-160_སྡོམ་པ་ཉི་ཤུ་པའི་འགྲེལ་པ།.txt
T4188,17-161_དྲི་མ་མེད་པ་རིན་པོ་ཆེའི་སྤྲིང་ཡིག.txt
T4132,17-162_དགེ་ཚུལ་གྱི་དང་པོའི་ལོ་དྲི་བ།.txt
T4133,17-163_དགེ་སློང་གི་དང་པོའི་ལོ་དྲི་བ།.txt
T1765,17-16_དཔལ་མགོན་པོའི་གཏོར་མ།.txt
T2487,17-170_རྩ་བའི་ལྟུང་བའི་རྒྱ་ཆེར་འགྲེལ་པ།.txt
N,17-175_རྟེན་འབྲེལ་སྙིང་པོའི་སྔགས་ཐེམ་ཞིབ་མོར་བཀོད་པ།.txt
T1798,17-17_དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག.txt
T1892,17-18_གསང་འདུས་འཇིག་རྟེན་དབང་ཕྱུག་གི་སྒྲུབ་ཐབས།.txt
T1893,17-19_འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས།.txt
T1268,17-1_དཔལ་དགྱེས་པ་རྡོ་རྗེའི་སྒྲུབ་ཐབས་རིན་པོ་ཆེའི་སྒྲོན་མ།.txt
T1894,17-20_དཔལ་གསང་བ་འདུས་པའི་བསྟོད་པ།.txt
T1923,17-21_གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས།.txt
T1937,17-22_གཤིན་རྗེ་གཤེད་རྣམ་པར་སྣང་མཛད་ཀྱི་མངོན་པར་རྟོགས་པ།.txt
T1938,17-23_གཤིན་རྗེ་གཤེད་རིན་ཆེན་འབྱུང་ལྡན་གྱི་སྒྲུབ་ཐབས།.txt
T1939,17-24_འོད་དཔག་ཏུ་མེད་པའི་སྙིང་པོ་འདོད་ཆགས་གཤིན་རྗེ་གཤེད་སྒྲུབ་པའི་ཐབས།.txt
T1940,17-25_གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་རྣོན་པོ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས།.txt
T1941,17-26_རྡོ་རྗེ་སེམས་མ་བདེ་བའི་སྒྲུབ་ཐབས།.txt
T1942,17-27_རྡོ་རྗེ་མཁའ་འགྲོ་མ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།.txt
T1943,17-29_རྡོ་རྗེ་བདེ་རྒྱས་དབྱངས་ཅན་མའི་སྒྲུབ་ཐབས།.txt
T1286,17-2_གཏོར་མའི་ཆོ་ག.txt
T1944,17-30_ལས་ཀྱི་རྡོ་རྗེ་གཽ་རཱིའི་སྒྲུབ་ཐབས།.txt
T1951,17-31_པདྨ་གཤིན་རྗེ་གཤེད་ཤེས་རབ་བདེ་བ་ཅན་གྱི་སྒྲུབ་ཐབས།.txt
T1948,17-32_ཁྲོ་བོ་ཐོ་བ་གཤིན་རྗེ་གཤེད་ཀྱི་སྒྲུབ་ཐབས།.txt
T1950,17-33_རལ་གྲི་གཤིན་རྗེ་གཤེད་གཏུམ་པོའི་སྒྲུབ་ཐབས།.txt
T2313,17-34_འཁོར་བ་ལས་ཡིད་ངེས་པར་འབྱུང་བར་བྱེད་པའི་གླུ།.txt
T2314,17-35_ཆོས་ཀྱི་དབྱིངས་ལྟ་བའི་གླུ།.txt
T2460,17-36_ཏིང་ངེ་འཛིན་ཚོགས་ཀྱི་ལེའུ།.txt
T2461,17-37_འཇིག་རྟེན་ལས་འདས་པའི་ཡན་ལག་བདུན་པའི་ཆོ་ག།.txt
T2496,17-38_སྐུ་དང་གསུང་དང་ཐུགས་རབ་ཏུ་གནས་པ།.txt
T2654,17-39_མི་འཁྲུགས་པའི་སྒྲུབ་ཐབས།.txt
T1490,17-3_མངོན་པར་རྟོགས་པ་རྣམ་པར་འབྱེད་པ།.txt
T2655,17-40_ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག.txt
T2702,17-41_འཇམ་པའི་དབྱངས་དཔའ་བོ་གཅིག་ཏུ་གྲུབ་པའི་སྒྲུབ་ཐབས།.txt
T2852,17-42_སྤྱན་རས་གཟིགས་དབང་ཕྱུག་ཁ་སརྤ་ཎིའི་སྒྲུབ་ཐབས།.txt
T2889,17-43_དཔལ་ཕྱག་ན་རྡོ་རྗེ་ལ་བསྟོད་པ།.txt
,17-44_རྣམ་འཇོམས་ཀྱི་སྒྲུབ་ཐབས་བརྒྱ་རྩ་བརྒྱད་གྲགས་པ།.txt
T3057,17-45_འཕགས་པ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།.txt
T3058,17-46_དཔལ་རྟ་མགྲིན་གྱི་སྒྲུབ་ཐབས།.txt
T3060,17-47_ཁྲོ་བོའི་རྒྱལ་པོ་འཕགས་པ་མི་གཡོ་བ་ལ་བསྟོད་པ།.txt
T3081,17-48_གཙུག་ཏོར་དྲི་མ་མེད་པའི་གཟུངས་ཀྱི་ཆོ་ག.txt
T3082,17-49_གཙུག་ཏོར་དྲི་མ་མེད་པའི་གཟུངས་ཀྱི་ཆོ་ག.txt
T1491,17-4_དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས།.txt
T3685,17-50_སྒྲོལ་མའི་སྒྲུབ་ཐབས་བཞུགས།.txt
T3686,17-51_འཕགས་མ་ལྷ་མོ་སྒྲོལ་མ་བསྒོམ་པའི་ཆོ་ག་རྒྱས་པ།.txt
T3687,17-52_འཇིགས་པ་བརྒྱད་ལས་སྐྱོབ་པ་བཞུགས།.txt
T3193,17-53_སྒྲོལ་མའི་སྒྲུབ་ཐབས།.txt
T3194,17-54_སྒྲོལ་མའི་སྒྲུབ་ཐབས།.txt
T3195,17-55_སྒྲོལ་མའི་སྒྲུབ་ཐབས།.txt
T3196,17-56_སྒྲོལ་མའི་སྒྲུབ་ཐབས།.txt
T3725,17-57_དམ་ཚིག་ཐམས་ཅད་བསྡུས་པ།.txt
T3739,17-58_འཕགས་པ་ཚོགས་ཀྱི་བདག་པོ་ཆགས་པ་རྡོ་རྗེའི་དམ་ཚིག་གི་བསྟོད་པ།.txt
T3778,17-59_བདུད་རྩི་འབྱུང་བ་ཞེས་བྱ་བའི་གཏོར་མའི་ཆོ་ག.txt
T1492,17-5_དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ།.txt
T3775,17-60_ཆུ་གཏོར་གྱི་ཆོ་ག།.txt
T3780,17-61_ཀླུ་གཏོར་གྱི་ཆོ་ག.txt
N,17-64_གནོད་སྦྱིན་གྱི་སྡེ་དཔོན་ཆེན་པོ་ལག་ན་རྡོ་རྗེ་གོས་སྔོན་ཅན་གྱི་བསྒྲུབ་ཐབས།.txt
N,17-65_ཁྲོ་བོའི་རྒྱལ་པོ་མི་གཡོ་བའི་བསྒྲུབ་ཐབས།.txt
N,17-66_ནོར་བདག་གཙོ་འཁོར་ལྔའི་བསྟོད་པ་དབྱིག་གི་ཆར་འབེབས།.txt
T3804,17-67_ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་དོན་བསྡུས་སྒྲོན་མ།.txt
T3823,17-68_ཤེས་རབ་སྙིང་པོའི་རྣམ་པར་བཤད་པ།.txt
T3902,17-69_བདེན་པ་གཉིས་ལ་འཇུག་པ།.txt
T1464,17-6_དཔའ་བོ་གཅིག་པའི་སྒྲུབ་ཐབས།.txt
T3928,17-70_དྲན་པ་གཅིག་པའི་མན་ངག.txt
T3929,17-71_དབུ་མའི་མན་ངག་ཅེས་བྱ་བ།.txt
T3930,17-72_དབུ་མའི་མན་ངག་རིན་པོ་ཆེའི་ཟ་མ་ཏོག་ཁ་ཕྱེ་བ།.txt
N,17-73_དབུ་མའི་མན་ངག་ཇོ་བོ་རྗེས་མཛད་པ།.txt
T3937,17-74_མདོ་ཀུན་ལས་བཏུས་པའི་དོན་བསྡུས་པ།.txt
T3946,17-75_བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་མདོ་ཙམ་གདམས་ངག་ཏུ་བྱས་པ།.txt
T3947,17-76_བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མ།.txt
T3948,17-77_བྱང་ཆུབ་ལམ་གྱི་སྒྲོན་མའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ།.txt
T3949,17-78_སྙིང་པོ་བསྡུས་པ་ཞེས་བྱ་བ།.txt
T3950,17-79_སྙིང་པོ་ངེས་པར་བསྡུ་བ་ཞེས་བྱ་བ།.txt
T1494,17-7_རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ།.txt
T3951,17-80_བྱང་ཆུབ་སེམས་དཔའི་ནོར་བུའི་ཕྲེང་བ།.txt
N,17-81_བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་མདོ་ཙམ་གདམས་ངག་ཏུ་བྱས་པ།.txt
T3952,17-82_བྱང་ཆུབ་སེམས་དཔའ་ལས་དང་པོ་པའི་ལམ་ལ་འཇུག་པ་བསྟན་པ།.txt
T3953,17-83_སྐྱབས་སུ་འགྲོ་བ་བསྟན་པ།.txt
T3954,17-84_ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཡི་གེ་བསྡུས་པ།.txt
T3955,17-85_ཐེག་པ་ཆེན་པོའི་ལམ་གྱི་སྒྲུབ་ཐབས་ཤིན་ཏུ་བསྡུས་པ།.txt
T3956,17-86_རང་གི་བྱ་བའི་རིམ་པ་བསྐུལ་བ་དང་བཅས་པ་ཡི་གེར་བྲིས་པ།.txt
T3957,17-87_མདོ་སྡེའི་དོན་ཀུན་ལས་བཏུས་པའི་མན་ངག.txt
T3958,17-88_མི་དགེ་བ་བཅུའི་ལས་ཀྱི་ལམ་བསྟན་པ།.txt
T3959,17-89_ལས་རྣམ་པར་འབྱེད་པ་ཞེས་བྱ་བ།.txt
T1495,17-8_རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུའི་འགྲེལ་པ།.txt
T1803,17-90_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།.txt
T3969,17-91_སེམས་བསྐྱེད་པ་དང་སྡོམ་པའི་ཆོ་གའི་རིམ་པ།.txt
T3973,17-92_ལྟུང་བ་བཤགས་པའི་ཆོ་ག.txt
T3975,17-93_ཁ་ཏོན་དང་གླེགས་བམ་ཀླག་པའི་སྔོན་དུ་བྱ་བའི་ཆོ་ག.txt
T3976,17-94_ཕ་རོལ་ཏུ་ཕྱིན་པའི་ཐེག་པའི་སཙྪ་གདབ་པའི་ཆོ་ག.txt
T3977,17-95_བླ་མའི་བྱ་བའི་རིམ་པ།.txt
T4389,17-96_རིགས་ཀྱི་སྨོན་ལམ།.txt
T1695,17-97_སྒྲོལ་མ་དཀོན་མཆོག་གསུམ་ལ་བསྟོད་པ།.txt
T1696,17-98_བྱང་ཆུབ་ཀྱི་སེམས་བདེ་བའི་མན་ངག.txt
T1928,17-99_སྲུང་བའི་འཁོར་ལོ་སྒྲུབ་པའི་ཐབས།.txt
T2945,179_ཁྲོ་བོ་བརྒྱད་ཀྱི་དཀྱིལ་འཁོར་དུ་དབང་བསྐུར་བ།.txt
T1496,17-9_སྤྱོད་པའི་གླུ།.txt
T1806,2-10_མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག.txt
T1328,2-11_རོ་བསྲེག་པའི་ཆོ་ག.txt
T1808,2-12_དཔལ་གསང་བ་འདུས་པའི་རྫོགས་རིམ་མཐར་ཕྱིན་པ།.txt
T2279,2-13_རྣམ་པར་མི་རྟོག་པའི་རབ་ཏུ་བྱེད་པ།.txt
T2334,2-14_གོ་བ་བྱེད་པ་སྙིང་པོ་བརྒྱ་པ།.txt
T2457,2-15_དུག་ལྔ་སྦས་པའི་ལམ་མཆོག་ཏུ་གསང་བ་བསམ་གྱིས་མི་ཁྱབ་པ།.txt
N,2-16_བཅོམ་ལྡན་འདས་འཇམ་པའི་དབྱངས་ཀྱི་དཔྱད།.txt
T1307,2-17_བདག་མེད་མ་ལྷ་མོ་བཅོ་ལྔ་ལ་བསྟོད་པ།.txt
T3052,217_གཤིན་རྗེ་གཤེད་པོ་སྒྲུབ་པའི་ཐབས།.txt
T3844,2-18_ཆ་ཤས་ཀྱི་ཡན་ལག་ཅེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt
T3845,2-19_ཆ་ཤས་ཀྱི་ཡན་ལག་ཅེས་བྱ་བའི་རབ་ཏུ་བྱེད་པའི་འགྲེལ་པ།.txt
T1610,2-1_རྣལ་འབྱོར་གྱི་རྒྱུད་དཔལ་གདན་བཞི་པའི་སྒྲུབ་ཐབས།.txt
T3846,2-20_བསྟན་བཅོས་བཞི་བརྒྱ་པ་ཞེས་བྱ་བའི་ཚིག་ལེའུར་བྱས་པ།.txt
T3847,2-21_འཁྲུལ་པ་བཟློག་པའི་རིགས་པ་གཏན་ཚིགས་གྲུབ་པ།.txt
T3848,2-22_རབ་ཏུ་བྱེད་པ་ལག་པའི་ཚད་ཀྱི་ཚིག་ལེའུར་བྱས་པ།.txt
T3849,2-23_ལག་པའི་ཚད་ཀྱི་འགྲེལ་པ།.txt
T3850,2-24_དབུ་མ་འཁྲུལ་པ་འཇོམས་པ།.txt
T3851,2-25_ཡེ་ཤེས་སྙིང་པོ་ཀུན་ལས་བཏུས་པ།.txt
T1612,2-2_ཡེ་ཤེས་དབང་ཕྱུག་མའི་སྒྲུབ་ཐབས།.txt
N,2-31_ཁྲོ་བོ་རེག་ཚིག་གི་བསྒྲུབ་པའི་ཐབས།.txt
N,2-32_རེག་འབིགས་མའི་སྒྲུབ་ཐབས།.txt
N,2-33_སྐལ་འཇོག་དབང་གི་ཆོ་ག.txt
N,2-34_ཁྲོ་བོ་རེག་ཚིག་གི་དམ་ཚིག་གསང་བའི་སྒྲུབ་ཐབས།.txt
N,2-35_ཁྲོ་བོ་རེག་ཚིག་གི་སྦྱིན་སྲེག་གི་ཆོ་ག.txt
N,2-36_ལྷ་ཆེན་པོ་གསུམ་གྱི་སྒྲུབ་ཐབས།.txt
T1613,2-3_རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གདན་བཞི་པ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་སྙིང་པོ་མདོར་བསགས་པ་.txt
T1614,2-4_དཔལ་གདན་བཞི་པའི་ཟབ་དོན་སྟོན་པ་ཤིང་གཅིག་གི་དཀའ་འགྲེལ་བཞུགས།.txt
T1615,2-5_རྡོ་རྗེ་དྲིལ་ཐབས་ཀྱིས་མཆོད་པའི་ཐབས་ཀྱི་རིམ་པ།.txt
T1558,261_རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས།.txt
N,269_འཕགས་པ་ཡི་གེ་དྲུག་པའི་སྒྲུབ་ཐབས།.txt
T1794,2-6_སྒྲོན་མ་གསལ་བ་ཞེས་བྱ་བའི་འགྲེལ་བཤད།.txt
N,271_སྔགས་ཀྱི་དོན་འཇུག་པ།.txt
N,272_དབང་གི་མན་ངག.txt
N,273_དམ་ཚིག་སྦས་པ།.txt
T3775,275_ཆུ་གཏོར་གྱི་ཆོ་ག.txt
T1502,276_སྦྱིན་སྲེག་གི་ཆོ་ག.txt
N,277_ལྷ་མཆོད་པའི་རིམ་པ།.txt
N,278_ཚེ་བསྒྲུབ་པའི་ཐབས།.txt
N,279_འཆི་བ་སླུ་བ།.txt
T1803,2-7_སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ།.txt
N,280_འཆི་ཀ་མའི་བསྟན་བཅོས།.txt
T1328,281_རོ་བསྲེག་པའི་ཆོ་ག.txt
T1640,282_བདུན་ཚིགས་ཀྱི་ཆོ་ག.txt
N,283_ཚ་ཚྭའི་ཆོ་ག།.txt
T1693,284_འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ།.txt
T1804,2-8_སེམས་ཀྱི་སྒྲིབ་པ་རྣམ་པར་སྦྱོང་བ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།.txt
N,290_ཡེ་ཤེས་མགོན་པོ་གྲི་གུག་ཅན་གྱི་བདག་བསྐྱེད་བཟླས་པ་བསྟོད་པ།.txt
N,293_ཤིན་ཏུ་མྱུར་བའི་ལྷ་ཆེན་པོ་བགེགས་ཀྱི་རྒྱལ་པོའི་སྒྲུབ་ཐབས།.txt
N,294_དཔལ་ཚོགས་ཀྱི་བདག་པོ་ཞི་བའི་སྒྲུབ་ཐབས།.txt
N,295_ཚོགས་ཀྱི་བདག་པོའི་གསང་བའི་སྒྲུབ་ཐབས།.txt
T1805,2-9_བདག་བྱིན་གྱིས་བརླབ་པའི་རིམ་པ་རྣམ་པར་དབྱེ་བ།.txt
T3794,311_ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་མན་ངག་གི་བསྟན་བཅོས་མངོན་པར་རྟོགས་པའི་རྒྱན་ཞེས་བྱ་བའི་འགྲེལ་པ་རྟོགས་པར་དཀའ་བའི་སྣང་བ་ཞེས་བྱ་བའི་འགྲེལ་བཤད།.txt
T3842,3-1_དབུ་མ་རྩ་བའི་འགྲེལ་པ་བུདྡྷ་པཱ་ལི་ཏ།.txt
T1793,4-10_སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དགོངས་པ་རབ་གསལ་ཞེས་བྱ་བའི་བཤད་པའི་ཊཱི་ཀཱ།_(A).txt
T1793,4-10_སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དགོངས་པ་རབ་གསལ་ཞེས་བྱ་བའི་བཤད་པའི་ཊཱི་ཀཱ།_(B).txt
T4139,4-11_སྡེ་པ་ཐ་དད་པར་བྱེད་པ་དང་རྣམ་པར་བཤད་པ།.txt
T1792,4-1_སྒྲོལ་མ་གསལ་བར་བྱེད་པའི་དཀའ་བ་བཏུས་པའི་འགྲེལ་པ།.txt
T1557,42_རིགས་ལྡན་མའི་དེ་ཁོ་ན་ཉིད་ངེས་པ།.txt
T4073,458_བསམ་གཏན་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་མན་ངག.txt
T3857,4-6_དབུ་མའི་དོན་བསྡུས་པ།.txt
T,5-10_དབུ་མ་ལ་འཇུག་པ།.txt
T3862,5-11_དབུ་མ་ལ་འཇུག་པའི་བཤད་པ།.txt
T3863,5-12_དབུ་མ་ཤེས་རབ་ལ་འཇུག་པ།.txt
T3864,5-13_རིགས་པ་དྲུག་ཅུ་པའི་འགྲེལ་པ།.txt
T3865,5-14_བྱང་ཆུབ་སེམས་དཔའི་རྣལ་འབྱོར་སྤྱོད་པ་བཞི་བརྒྱ་པའི་རྒྱ་ཆེར་འགྲེལ་པ།.txt
T3866,5-15_ཕུང་པོ་ལྔའི་རབ་ཏུ་བྱེད་པ།.txt
T3867,5-16_སྟོང་ཉིད་བདུན་ཅུ་པའི་འགྲེལ་པ།.txt
T3971,5-17_གསུམ་ལ་སྐྱབས་སུ་འགྲོ་བ་བདུན་ཅུ་པ།.txt
T1724,5-1_རྡོ་རྗེ་ཕག་མོ་སྒྲོལ་མ་ལ་བསྟོད་པ།.txt
N,522_མོ་རྩིས་འཇམ་པའི་དབྱངས།.txt
T1785,5-2_སྒྲོན་མ་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་བཤད་པ།.txt
T3854,538_དབུ་མ་རིན་པོ་ཆེའི་སྒྲོན་མ།.txt
T3855,539_དབུ་མའི་སྙིང་པོའི་ཚིག་ལེའུར་བྱས་པ།.txt
T1786,5-3_སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བའི་འགྲེལ་པ།.txt
T3856,540_དབུ་མ་སྙིང་པོའི་འགྲེལ་པ་རྟོག་གེ་འབར་བ།.txt
T4016,541_འཕགས་པ་དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་བཤད་པ།.txt
T4016,542_འཕགས་པ་དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་བཤད་པ།.txt
T4016,543_འཕགས་པ་དགོངས་པ་ཟབ་མོ་ངེས་པར་འགྲེལ་པའི་མདོ་རྒྱ་ཆེར་བཤད་པ།.txt
T4017,544_དམ་པའི་ཆོས་པདྨ་དཀར་པོའི་འགྲེལ་པ།.txt
T1814,5-4_རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས།.txt
T4274,555_རྣམ་དབྱེའི་ཚིག་ལེའུར་བྱས་པ།.txt
T4151,556_སྐྱེས་པའི་རབས་ཀྱི་རྒྱ་ཆེར་བཤད་པ།.txt
T4138,557_གཞུང་ལུགས་ཀྱི་བྱེ་བྲག་བཀོད་པའི་འཁོར་ལོ།.txt
T4068,558_ཕུང་པོ་ལྔའི་བཤད་པ།.txt
T3133,559_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པའི་གཟུངས་བཀླག་པའི་ཆོ་ག་མདོ་སྡེ་ལས་བཏུས་པ།.txt
T1816,5-5_བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས།.txt
T2508,560_དཀྱིལ་འཁོར་གྱི་ཐིག་གི་ཆོ་ག།.txt
T2637,561_ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་རོའི་སྦྱིན་སྲེག་གི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག.txt
T1162,562_བཅོམ་ལྡན་འདས་ལ་བསྟོད་པ་དཔལ་རྡོ་རྗེ་འཛིན་གྱི་དབྱངས།.txt
T1191,563_རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་དགྱེས་པའི་རྡོ་རྗེའི་དཀའ་འགྲེལ་སྤྱན་འབྱེད།.txt
T1771,564_ནག་པོ་ཆེན་པོ་སྒྲུབ་པའི་ཐབས།.txt
T1838,565__རིམ་ལྔའི་དཀའ་འགྲེལ།.txt
N,566_གྲུབ་མཐའ་བདུན་པ།.txt
T2447,567_རྔོན་པ་བ་ཆེན་པོས་ཀ་མ་ལ་ཤཱི་ལ་ལ་བསྒོམ་པའི་བརྡ་བསྟན་པ།.txt
T1817,5-6_གསང་བ་འདུས་པའི་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ།.txt
T2733,5-7_ཐུགས་རྗེ་ཆེན་པོ་ལ་སྨྲེ་སྔགས་ཀྱིས་བསྟོད་བྱིན་རླབས་ཅན།.txt
T3860,5-8_དབུ་མ་རྩ་བའི་འགྲེལ་པ་ཚིག་གསལ་བ།.txt
N,5-9_དབུ་མ་ལ་འཇུག་པ།.txt
T3871,6-1_བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པ།.txt
T3939,6-2_བསླབ་པ་ཀུན་ལས་བཏུས་པའི་ཚིག་ལེའུར་བྱས་པ།.txt
T3940,6-3_བསླབ་པ་ཀུན་ལས་བཏུས་པ།.txt
T3941,6-4_དེ་བཞིན་གཤེགས་པའི་སྙིང་པོ་ཡེ་གེ་བརྒྱ་པའི་བསྲུང་བ་དང་སྡིག་པ་བཤགས་པའི་ཆོ་ག.txt
T4004,6-5_འཕགས་པ་འདའ་ཀ་ཡེ་ཤེས་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོའི་འགྲེལ་པ།.txt
T4383,6-7_བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་སྨོན་ལམ།.txt
T4239,7-10_རྩོད་པའི་རིགས་པའི་འགྲེལ་པ་དོན་རྣམ་པར་འབྱེད་པ།.txt
T3132,7-11_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པའི་མདོ་སྡེའི་མན་ངག.txt
T3134,7-12_དེ་བཞིན་གཤེགས་པ་བདུན་གྱི་སྔོན་གྱི་སྨོན་ལམ་གྱི་ཁྱད་པར་རྒྱས་པ།.txt
