D1109	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
D1853	རིམ་པ་གཉིས་པའི་དེ་ཁོ་ན་ཉིད་སྒོམ་པ་ཞེས་བྱ་བའི་ཞལ་གྱི་ལུང
D1854	ཞལ་གྱི་ལུང
D1855	ཀུན་ཏུ་བཟང་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1856	ཡན་ལག་བཞི་པའི་སྒྲུབ་ཐབས་ལུན་ཏུ་བཟང་མོ་ཞེས་བྱ་བ
D1857	དཔལ་ཧེ་རུ་ཀའི་སྒྲུབ་པའི་ཐབས
D1858	དཔལ་ཧེ་རུ་ཀ་སྒྲབ་པའི་ཐབས་ཀྱི་འགྲེལ་པ
D1859	གྲོལ་བའི་ཐིག་ལེ་ཞེས་བྱ་བ
D1860	བདག་སྒྲུབ་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ
D1861	རྗེ་བཙུན་འཕགས་པ་གནོད་འཛིན་ཆུ་དབང་གི་སྒྲུབ་པའི་ཐབས
D1862	གསང་བའི་ཛམ་བྷ་ལའི་སྒྲུབ་ཐབས
D1863	རྒྱ་ཆེ་བའི་ཛམ་བྷ་ལའི་སྒྲུབ་པའི་ཐབས
D1864	སྟང་སྟབས་ཀྱི་བཀོད་པ
D1865	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
D1866	མཛེས་པའི་མེ་ཏོག་ཅེས་བྱ་བ་རིམ་པ་གཉིས་པའི་དེ་ཁོ་ན་ཉིད་བསྒོམ་པ་ཞལ་གྱི་ལུང་གི་འགྲེལ་པ
D1867	ཀུན་ཏུ་བཟང་པོའི་སྒྲུབ་པའི་ཐབས་ཀྱི་འགྲེལ་པ
D1868	དཔལ་ཀུན་ཏུ་བཟང་པོའི་སྒྲུབ་ཐབས་ཀྱི་འགྲེལ་པ
D1869	ཡན་ལག་བཞི་པའི་སྒྲུབ་ཐབས་ཀྱི་རྒྱ་ཆེར་བཤད་པ་སྙིང་པོ་རྙེ་མ་ཞེས་བྱ་བ
D1870	གྲོལ་བའི་ཐིག་ལེ་ཞེས་བྱ་བའི་རྣམ་པར་བཤད་པ
D1871	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་གའི་འགྲེལ་པ
D1872	ཡན་ལག་བཞི་པའི་སྒྲུབ་ཐབས་ཀུན་ཏུ་བཟང་མོ་ཞེས་བྱ་བའི་རྣམ་པར་བཤད་པ
D1873	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་སྒྲུབ་པའི་ཐབས་རྣམ་པར་བཤད་པ
D1874	དཔལ་གསང་བ་འདུས་པའི་སྒྲུབ་པའི་ཐབས་དངོས་གྲུབ་འབྱུང་བའི་གཏེར་ཞེས་བྱ་བ
D1875	སྦྱོར་བ་བདུན་པ་ཞེས་བྱ་བ་དབང་བཞིའི་རབ་ཏུ་བྱེད་པ
D1876	གཏོར་མ་ཆེན་པོའི་ཆོ་ག
D1877	མི་ཤིགས་པའི་རིན་པོ་ཆེ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
D1878	བདག་གི་དོན་གྲུབ་པར་བྱེད་པ་ཞེས་བྱ་བ་རྣལ་འབྱོར་གྱི་བྱ་བའི་རིམ་པ
D1879	སྦྱོར་བ་ཡན་ལག་དྲུག་གི་སྣང་བའི་རིམ་པ
D1880	དཔལ་གསང་བ་འདུས་པའི་འཇམ་དཔལ་གྱི་སྒྲུབ་ཐབས
D1881	དཔལ་གསང་བ་འདུས་པའི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1882	དཀྱིལ་འཁོར་གྱི་ཆོ་ག
D1883	དགའ་བའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
D1884	དཔལ་མི་བསྐྱོད་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས
D1885	དཔལ་གསང་བ་འདུས་པ་རྟོགས་སླ་ཞིང་མདོར་བསྡུས་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1886	དབང་གི་རབ་ཏུ་བྱེད་པ
D1887	གསང་བ་འདུས་པའི་དབང་བསྐུར་བའི་ཆོ་ག་མདོར་བསྡུས་པ
D1888	ཡན་ལག་བདུན་པ
D1889	དེ་ཁོ་ན་ཉིད་རིན་པོ་ཆེ་སྣང་བ
D1890	དེ་ཁོ་ན་ཉིད་རིན་པོ་ཆེ་སྣང་བའི་རྣམ་པར་བཤད་པ
D1891	རབ་ཏུ་གསལ་བ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1892	དཔལ་གསང་བ་འདུས་པ་འཇིག་རྟེན་དབང་ཕྱུག་གི་བསྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
D1893	འཕགས་པ་སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས
D1894	དཔལ་གསང་བ་འདུས་པའི་བསྟོད་པ
D1895	དེ་ཁོ་ན་ཉིད་བཅུ་པ
D1896	རབ་ཏུ་གནས་པའི་ཆོ་ག
D1897	བསྟན་པའི་ནོར་ཐམས་ཅད་པ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1898	ཁྲོ་བོ་བཅུའི་གཏོར་མའི་ཆོ་ག
D1899	དབང་བསྐུར་བའི་རབ་ཏུ་བྱེད་པ
D1900	སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བའི་འགྲེལ་པ
D1901	སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ
D1902	འཇམ་པའི་རྡོ་རྗེ་མཆོད་པའི་ཆོ་ག
D1903	ཨརགྷའི་ཆོ་ག
D1904	རབ་ཏུ་གནས་པའི་ཆོ་ག
D1905	རབ་ཏུ་གནས་པའི་ཆོ་ག་ཞེས་བྱ་བ
D1906	རྒྱ་ཆེ་བའི་ཚིག་བསྡུས་པ་ཞེས་བྱ་བ་རབ་ཏུ་གནས་པའི་ཆོ་ག
D1907	དཔལ་ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་རྒྱུད་ལས་ཕྱུང་བ་སྤྱན་མའི་ངན་སོང་སྦྱོང་བའི་ཆོ་ག
D1908	ཐ་མའི་མཆོད་པའི་ཆོ་ག
D1909	རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གསང་བ་འདུས་པའི་རྣམ་པར་བཤད་པ
D1910	གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་གླེང་གཞི་བླ་མའི་མན་ངག་གི་བཤད་པ
D1911	དཔལ་བདེ་བ་ཆེན་པོའི་སྒྲུབ་ཐབས
D1912	དཔལ་བདེ་བ་ཆེན་པོ་སྒྲུབ་པའི་ཐབས་རྣམ་པར་བཤད་པ
D1913	དཔལ་གསང་བ་འདུས་པ་ལྷན་ཅིག་སྐྱེས་པའི་སྒྲུབ་ཐབས
D1914	རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གསང་བ་འདུས་པའི་འགྲེལ་པ
D1915	ལྷ་མོ་བཞིས་ཡོངས་སུ་ཞུས་པའི་རྣམ་པར་བཤད་པ་མན་ངག་རྒྱས་པ་ཞེས་བྱ་བ
D1916	ལྷ་མོ་བཞིས་ཡོངས་སུ་ཞུས་པའི་རྣམ་པར་བཤད་པ
D1917	དཔལ་གསང་བ་འདུས་པའི་དཀའ་འགྲེལ
D1918	དཔལ་གཤིན་རྗེ་གཤེད་ཀྱི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་ལྷན་ཅིག་སྐྱེས་པའི་སྣང་བ་ཞེས་བྱ་བ
D1919	དཔལ་གཤིན་རྗེའི་དགྲ་ནག་པོའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་དཀའ་འགྲེལ་རིན་པོ་ཆེའི་སྒྲོན་མ་ཞེས་བྱ་བ
D1920	གཤིན་རྗེ་གཤེད་ནག་པོའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་མངོན་པར་མཐོང་བ་ལམ་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་བཤད་པ
D1921	གཤིན་རྗེ་གཤེད་ནག་པོའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་རིན་པོ་ཆེའི་འཕྲེང་བ་ཞེས་བྱ་བ
D1922	གཤིན་རྗེའི་དགྲ་ནག་པོའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ
D1923	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1924	གཤིན་རྗེ་གཤེད་ནག་པོའི་དཀྱིལ་འཁོར་གྱི་སྒྲུབ་ཐབས
D1925	རྡོ་རྗེ་དབྱངས་ཅན་མའི་བསྟོད་པ
D1926	གཤིན་རྗེ་དགྲའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་གཤིན་རྗེ་གཤེད་འབྱུང་བ་ཞེས་བྱ་བ
D1927	མཆོད་རྟེན་བསྒྲུབ་པའི་ཆོ་ག་མདོར་བསྡུས་པ
D1928	བསྲུང་བའི་འཁོར་ལོ་སྒྲུབ་པའི་ཐབས
D1929	གཤིན་རྗེ་གཤེད་ནག་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1930	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས
D1931	དཔལ་གཤིན་རྗེའི་གཤེད་དགྲ་ནག་པོའི་སྒྲུབ་ཐབས་འཁོར་ལོའི་དོན་རྒྱས་པར་བཤད་པ་དང་བཅས་པ
D1932	གཤིན་རྗེའི་གཤེད་ནག་པོ་སྒྲུབ་པའི་ཐབས
D1933	མཎཌལ་གྱི་ཆོ་ག
D1934	མཎཌལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ
D1935	གཤིན་རྗེའི་དགྲ་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཀུ་མུ་ད་ཁ་བྱེ་བ་ཞེས་བྱ་བ
D1936	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1937	གཤིན་རྗེ་གཤེད་རྣམ་པར་སྣང་མཛད་ཀྱི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ
D1938	གཤིན་རྗེ་གཤེད་རིན་ཆེན་འབྱུང་ལྡན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1939	འོད་དཔག་ཏུ་མེད་པའི་སྙིང་པོ་འདོད་ཆགས་གཤིན་རྗེ་གཤེད་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
D1940	གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་རྣོན་པོ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
D1941	རྡོ་རྗེ་སེམས་མ་བདེ་བའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1942	རྡོ་རྗེ་མཁའ་འགྲོ་མ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1943	རྡོ་རྗེ་བདེ་རྒྱས་དབྱངས་ཅན་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1944	ལས་ཀྱི་རྡོ་རྗེ་གཽ་རའིའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1945	རྗེ་བཙུན་འཇམ་དཔལ་གཤིན་རྗེ་གཤེད་མཆོད་པའི་ཆོ་གའི་རིམ་པ་ཞེས་བྱ་བ
D1946	སངས་རྒྱས་གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
D1947	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
D1948	ཁྲོ་བོ་ཐོ་བ་གཤིན་རྗེ་གཤེད་ཀྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1949	དབྱུག་པ་གཤིན་རྗེ་གཤེད་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
D1950	རལ་གྲི་གཤིན་རྗེ་གཤེད་གཏུམ་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1951	པདྨ་གཤིན་རྗེ་གཤེད་ཤེས་རབ་བདེ་བ་ཅན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1952	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཀྱི་མཎཌལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ
D1953	ཆོས་ཀྱི་སྐུའི་སྣང་བའི་ཆོ་ག་ཞེས་བྱ་བ
D1954	གཤིན་རྗེ་གཤེད་ཀྱི་རོ་བསྲེག་གི་ཆོ་ག་ཞེས་བྱ་བ
D1955	ཚོགས་ཀྱི་འཁོར་ལོའི་ཆོ་ག་ཞེས་བྱ་བ
D1956	གཤིན་རྗེ་གཤེད་ནག་པོའི་ཞི་བའི་སྦྱིན་སྲེག་གི་ཆོ་ག
D1957	ཡི་དགས་ཐམས་ཅད་རྡོ་རྗེས་བཅིངས་པ
D1958	གཤིན་རྗེ་གཤེད་ནག་པོའི་མངོན་པར་རྟོགས་པའི་རིམ་པ
D1959	དཔལ་གཤིན་རྗེ་གཤེད་ནག་པོའི་འཁོར་ལོ་བྲི་བའི་ཆོ་ག
D1960	གཤིན་རྗེ་དགྲ་ནག་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
D1961	གཤིན་རྗེ་གཤེད་ཀྱི་སྒྲུབ་པའི་ཐབས
D1962	ནག་པོ་ཞལ་གསུམ་ཕྱག་དྲུག་པའི་སྒྲུབ་ཐབས
D1963	ཨོ་མའི་སྒྲུབ་པའི་ཐབས
D1964	གཤིན་རྗེ་གཤེད་ནག་པོའི་འཁོར་ལོའི་མན་ངག
D1965	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྦྱིན་སྲེག་གི་ཆོ་ག
D1966	ཆི་བདག་ཡི་དྭགས་རྒྱལ་པོའི་སྒྲུབ་ཐབས
D1967	གཤིན་རྗེ་གཤེད་ཀྱི་ལག་པའི་མཆོད་པ
D1968	གཤིན་རྗེ་གཤེད་ནག་པོའི་དཀྱིལ་འཁོར་གྱི་བསྟོད་པ་ཞེས་བྱ་བ
D1969	རྡོ་རྗེ་འཛིན་པས་གཤིན་རྗེ་གཤེད་པོ་ལ་བསྟོད་པའི་རྒྱུད
D1970	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ
D1971	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་རྒྱུད་ཀྱི་མདོར་བཤད་པ་ཞེས་བྱ་བ
D1972	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་རྒྱུད་ཀྱི་མདོ་མདོར་བཤད་པ་ཞེས་བྱ་བ
D1973	རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ
D1974	རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་རྒྱུད་ཀྱི་འགྲེལ་པ་རིན་པོ་ཆེའི་ཕྲེང་བ
D1975	མ་ཧེའི་ཞལ་གྱི་སྒྲུབ་པའི་ཐབས
D1976	རྡོ་རྗེས་འཇིགས་བྱེད་ཞལ་གཅིག་ཕྱག་གཉིས་པའི་སྒྲུབ་པའི་ཐབས
D1977	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་པའི་ཐབས་མདོར་བསྡུས་པ
D1978	རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་བསྙེན་པའི་ཆོ་ག
D1979	སྒྲུབ་པའི་ཆོ་ག
D1980	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་རྟོག་པ་ལས་འཁོར་ལོ་བསྐོར་བའི་ལས་དྲག་པོ་ཕྱོགས་གཅིག་པ
D1981	རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་ཐབས
D1982	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་སྒྲུབ་པའི་ཐབས་ལས་བྱ་བའི་ཆོ་ག་སེམས་དཔའ་བསྡུས་པ
D1983	དཀྱིལ་འཁོར་གྱི་ཆོ་ག
D1984	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཆེན་པོའི་གསད་པའི་འཁོར་ལོ་ཞེས་བྱ་བ
D1985	དཔལ་དེ་ཁོ་ན་ཉིད་གྲུབ་པ
D1986	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་དམ་ཚིག་ལ་འཇུག་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
D1987	རྡོ་རྗེའི་ཚིག་རྣམ་པར་དབྱེ་བ
D1988	རྡོ་རྗེ་ཙར་ཙི་ཀའི་ལས་སྒྲུབ་པའི་ཐབས
D1989	རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་ཐབས
D1990	དཔར་རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1991	དཔལ་རྡོ་རྗེ་དབྱངས་ཅན་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1992	རྡོ་རྗེ་དཀར་མོའི་རྗེས་སུ་འཛིན་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D1993	ལས་ཀྱི་གཤིན་རྗེ་འཁོར་བཅས་ཀྱི་མཆོད་པའི་ཆོ་ག
D1994	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
D1995	རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་ཚོགས་ཀྱི་འཁོར་ལོ་ཞེས་བྱ་བ
D1996	ཙྪུ་ཙྪུནད་རའི་རྟོག་པ
D1997	རྡོ་རྗེ་འཇིགས་བྱེད་ཆེན་པོའི་སྦྱིན་སྲེག་གི་ཆོ་ག་ཞེས་བྱ་བ
D1998	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་ཐབས
D1999	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་ཐབས
D2000	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་གཏོར་མའི་ཆོ་ག
D2001	བྷེཨེ་ར་བའི་ཞི་བའི་བྱ་བ་བདུན་པ
D2002	དྲག་པོའི་ལས་ཀྱི་བྱ་བ་བདུན་པ
D2004	ལས་ཀྱི་གྲོགས་ཀྱིས་བྱེད་པ
D2005	དམ་རྫས་རྨད་དུ་བསྒྱུར་ཏེ་བསྟེན་པའི་ཆོ་ག
D2006	གཏམ་རྒྱུད་ཀྱི་རྟོག་པ
D2007	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་ཕྱག་མཚན་གྱི་རྣམ་པར་དག་པ་ཞེས་བྱ་བ
D2008	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཆེན་པོའི་སྒྲུབ་ཐབས
D2009	དེ་ཉིད་ལྔ་པའི་བསྟོད་པ
D2010	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་བསྟོད་པ
D2011	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་བསྟོད་པ
D2012	འཇམ་དཔལ་འཇིགས་བྱེད་མཚན་གྱི་བསྟོད་པ
D2013	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་པའི་ཐབས་རྡོ་རྗེ་འོད་ཅེས་བྱ་བ
D2014	དཔལ་གཤིན་རྗེ་གཤེད་པོའི་རྩ་བའི་སྔགས་དོན་རྡོ་རྗེ་རབ་ཏུ་འབྱེད་པ་ཞེས་བྱ་བ
D2015	གཤིན་རྗེ་གཤེད་ནག་པོ་གདོང་དྲུག་པའི་འཁོར་ལོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D2016	གཤིན་རྗེའི་དགྲ་བསྒྲུབ་པའི་འཁོར་ལོའི་སྒྲུབ་ཐབས
D2017	གཤིན་རྗེ་མཐར་བྱེད་དམར་པོའི་སྒྲུབ་ཐབས
D2018	གཤིན་རྗེ་གཤེད་དམར་པོའི་སྒྲུབ་ཐབས
D2019	འོད་གསལ་འཆར་བའི་རིམ་པ
D2020	ཤིན་ཏུ་སྤྲོས་པ་མེད་པ་དེ་ཁོ་ན་ཉིད་ཀྱི་མན་ངག་ཅེས་བྱ་བ
D2021	གཤིན་རྗེ་གཤེད་དམར་པོའི་སྒྲུབ་ཐབས་ཀྱི་ཆོ་ག
D2022	གཤིན་རྗེ་གཤེད་ཀྱི་འཕྲུལ་འཁོར་གྱི་ཕྲེང་བ
D2023	དཔལ་གཤིན་རྗེ་གཤེད་དམར་པོའི་སྒྲུབ་ཐབས
D2024	དཔལ་གཤིན་རྗེ་གཤེད་དམར་པོའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
D2025	རྣལ་འབྱོར་བཞིའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བ་རང་བྱིན་གྱིས་བརླབ་པའི་མན་ངག
D2026	གཤིན་རྗེ་གཤེད་དམར་པོའི་སྒྲུབ་ཐབས
D2027	གཤིན་རྗེ་གཤེད་དམར་པོ་མཎཌལ་དུ་མཆོད་པའི་ཆོ་ག་ཞེས་བྱ་བ
D2028	གཤིན་རྗེ་གཤེད་ནག་པོ་དང་གཤིན་རྗེ་གཤེད་དམར་པོའི་མཆོད་པའི་ཆོ་ག
D2029	གཤིན་རྗེ་གཤེད་དམར་པོའི་ཏིང་ངེ་འཛིན་གྱི་ཆོ་ག
D2030	གཤིན་རྗེ་གཤེད་དམར་པོའི་གཏོར་མའི་ཆོ་ག
D2031	གཤིན་རྗེ་གཤེད་དམར་པོའི་སྒྲུབ་ཐབས
D2032	རང་བྱིན་གྱིས་བརླབ་པའི་རིམ་པའི་མན་ངག་དང་བཅས་པ་གཤིན་རྗེ་མཐར་བྱེད་དམར་པོའི་མངོན་པར་རྟོགས་པ
D2033	གཤིན་རྗེ་གཤེད་དམར་པོའི་འཁྲུལ་འཁོར་གྱི་གསལ་བྱེད
D2034	གཤིན་རྗེ་དཤེད་དམར་པོའི་འཁོར་ལོའི་དེ་ཁོ་ན་ཉིད་ཀྱི་གསལ་བྱེད
D2035	གཤིན་རྗེ་དགྲ་དམར་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
D2036	གཤིན་རྗེ་གཤེད་དམར་པོའི་རྫོགས་པའི་རྣལ་འབྱོར་ཞེས་བྱ་བ
D2037	དཔལ་གཤིན་རྗེ་གཤེད་དམར་པོའི་འཚོ་བའི་དེ་ཁོ་ན་ཉིད་ཅེས་བྱ་བའི་མན་ངག
D2038	གཤིན་རྗེ་མཐར་བྱེད་དམར་པོའི་བྱིན་གྱིས་བརླབ་པའི་རིམ་པ
D2039	ལྷ་མོ་འོད་འཛིན་མའི་བྱིན་གྱིས་བརླབ་པ
D2040	འོད་འཆང་མའི་སྒྲུབ་པའི་ཐབས
D2041	རང་གི་སེམས་གོང་དུ་འཕོ་བའི་མན་ངག་བྱིན་རླབས་དང་བཅས་པ
D2042	བྱིན་གྱིས་རླབས་པའི་རིམ་པ
D2043	མེའི་ལྷ་མཆོད་པ་ཞེས་བྱ་བ
D2044	བདུད་རྩི་བྱིན་གྱིས་བརླབ་པ་ཞེས་བྱ་བ
D2045	བསྲུང་བའི་འཁོར་ལོའི་བྱིན་བརླབས་དང་ཕྱིར་བཟློག་པའི་མན་ངག་ཅེས་བྱ་བ
D2046	གཤིན་རྗེ་གཤེད་དམར་པོའི་སྔགས་བཏུ་བ་ཞེས་བྱ་བ
D2047	གཤིན་རྗེ་གཤེད་དམར་པོའི་ལས་ཀྱི་ཕྲེང་བའི་སྒྲུབ་ཐབས་ཡིད་བཞིན་ནོར་བུ་ཞེས་བྱ་བ
D2048	རིན་ཆེན་ཕྲེང་བ་མ
D2049	ཀླུ་མོའི་སྒྲུབ་ཐབས
D2050	ཀླུ་མོ་ནོར་སྐྱོང་ཞལ་མ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
D2051	ཀླུ་མོ་ཨ་ཕུ་ཞེས་བྱ་བའི་མན་ངག
D2052	དགའ་བས་ཚིམ་མའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
D2053	གནོད་སྦྱིན་ན་ཌ་ཕོ་མོའི་སྒྲུབ་ཐབས
D2054	གནོད་སྦྱིན་མོ་སའི་བདག་མོ་བཀྲ་ཤིས་མའི་སྒྲུབ་ཐབས
D2055	གནོད་སྦྱིན་དགའ་བྱེད་ཀྱི་སྒྲུབ་ཐབས
D2056	གནོད་སྦྱིན་གྱི་རྒྱལ་པོ་ཕུར་བུས་འདེབས་པའི་སྒྲུབ་ཐབས
D2057	བརྡེག་པར་བྱེད་པའི་གནོད་སྦྱིན་གྱི་སྡེ་དཔོན་གྱི་སྒྲུབ་ཐབས
D2058	དཔལ་ཟླ་བའི་ལྷ་མོ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
D2059	ཕྲོག་མ་རྣ་ཆ་འཛིན་མའི་སྒྲུབ་ཐབས
D2060	ཡིད་འཕྲོག་མའི་སྒྲུབ་ཐབས
D2061	ལེགས་པར་དགའ་མའི་སྒྲུབ་ཐབས
D2062	སྤྱན་ཡངས་མའི་སྒྲུབ་ཐབས
D2063	དོད་ཆགས་དགའ་མའི་སྒྲུབ་ཐབས
D2064	གཞན་གྱིས་མི་ཐུབ་མ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
D2065	ལྷག་པར་རྒྱལ་བ་མི་ཕམ་མའི་སྒྲུབ་ཐབས
D2066	གང་བ་བཟང་པོའི་སྒྲུབ་ཐབས
D2067	བྱུང་མོ་མཛེས་མའི་སྒྲུབ་ཐབས
D2068	དཔལ་རྒྱལ་བའི་མཛེས་མའི་སྒྲུབ་ཐབས
D2069	དྲི་མེད་མཛེས་མའི་སྒྲུབ་ཐབས
D2070	ཤ་ཟ་པི་ལུའི་པ་ལི་སྒྲུབ་ཐབས
D2071	ཤ་ཟ་ནོར་བུ་འཛིན་པའི་སྒྲུབ་ཐབས
D2072	ཤ་ཟ་ནག་པོའི་སྒྲུབ་ཐབས
D2073	ཤ་ཟ་ནག་པོའི་སྙིང་པོའི་སྒྲུབ་ཐབས
D2074	ཤ་ཟ་མོ་ཧ་ན་མའི་སྒྲུབ་ཐབས
D2075	ཨ་ལུ་ཀ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
D2076	ཨ་ལ་སྦས་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
D2077	བོང་བུའི་གདོང་ཅན་མའི་སྒྲུབ་ཐབས
D2078	ཤ་ཟ་ཨ་ལུ་མབི་ནའི་སྒྲུབ་ཐབས
D2079	ཨུཙྪུSHམཱ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
D2080	ཀSHཨུ་ཀSHཨུ་སེ་ཡི་ཀུན་དའི་སྒྲུབ་ཐབས
D2081	ཤ་ཟ་མོ་རྣ་བ་འཛིན་པའི་སྒྲུབ་ཐབས
D2082	ཤ་ཟ་མོ་ཁ་ནག་མོའི་སྒྲུབ་ཐབས
