Q2001	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
Q2588	ཞིང་གི་དབང་ཕྱུག་མའི་བསྟོད་པ
Q2589	རྡོ་རྗེ་དྲིལ་བུའི་མཚན་ཉིད་ཅེས་བྱ་བ
Q2590	ཐོད་པ་མཆོད་པའི་ཆོ་ག་ཞེས་བྱ་བ
Q2591	རྨི་ལམ་སྒྲོལ་མའི་སྒྲུབ་ཐབས
Q2592	རྗེ་བཙུན་ཨཱརྱ་ཏཱ་རའི་མན་ངག་ལ་བརྟེན་ནས་འཆི་ཀ་མའི་ཉམས་ལེན
Q2593	འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2594	འཕགས་མ་སྒྲོལ་མའི་སྒྲུབ་ཐབས
Q2595	རྡོ་རྗེ་ཕག་མོ་སྒྲོལ་མ་ལ་བསྟོད་པ
Q2596	སྒྲོལ་མ་ཁྲོ་མོ་ལ་རྩ་བའི་སྔགས་ཀྱིས་བསྟོད་པ་༼ཞེས་བྱ་བ༽
Q2597	ལྷ་མོ་ཨུ་གྲ་ཏཱ་རའི་སྒྲུབ་ཐབས
Q2598	འཕགས་མ་སྒྲོལ་མ་དྲག་མོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2599	རལ་གཅིག་མའི་སྒྲུབ་ཐབས
Q2600	སྒྲོལ་མ་ཁྲོས་པའི་བ་ལིང་གི་གཏོར་མ
Q2601	སྒྲོལ་མ་རལ་གཅིག་མའི་བློ་འཕེལ
Q2602	རལ་གཅིག་མ་དཀར་མོའི་སྒྲུབ་ཐབས
Q2603	རལ་པ་གཅིག་མ་དམར་མོའི་སྒྲུབ་པའི་ཐབས
Q2604	རལ་པ་གཅིག་མ་དམར་མོའི་བྱིན་བརླབས་ཀྱི་ཆོ་ག
Q2605	མཆོག་གི་སྒྲོལ་མ་རལ་པ་གཅིག་པའི་མན་ངག་གི་སྒྲུབ་ཐབས
Q2606	སྒྲོལ་མ་ལྷ་ལྔའི་སྒྲུབ་ཐབས
Q2607	དུས་མཚམས་སྲང་མདའི་ལས
Q2608	ཐུགས་རྗེ་སྒྲོལ་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2609	རྗེ་བཙུན་སྒྲོལ་མའི་ནང་གི་གཏོར་མའི་ཆོ་ག
Q2610	ཕྱིར་བཟློག་པའི་འཁོར་ལོ
Q2611	སྒྲོལ་མའི་གསང་བའི་སྒྲུབ་ཐབས
Q2612	ཐུགས་རྗེ་སྒྲོལ་མ་ལས་སྣ་ཚོགས་པའི་སྒྲུབ་ཐབས
Q2613	ཁྭ་གདོང་མ་སྲང་མདའ་ནག་མོ་ཞེས་བྱེ་བ
Q2614	རྗེ་བཙུན་མ་སྒྲོལ་མའི་མན་ངག་མེ་ལོང་དྭངས་པ་ཞེས་བྱ་བ
Q2615	དཔལ་ཨུ་རྒྱན་གྱི་རྣལ་འབྱོར་པ་དང་རྣལ་འབྱོར་མའི་རང་བྱུང་གི་ལོངས་སྤྱོད་དུར་ཁྲོད་ཀྱི་རྟོག་པ་ཞེས་བྱ་བ
Q2616	རྗེས་ཆགས་ཀྱི་སྦྱོར་བས་དེ་ཁོ་ན་ཉིད་རྣལ་འབྱོར་ལ་འཇུག་པའི་མན་ངག་ཅེས་བྱ་བ
Q2617	ལས་ཀྱི་ཕྱག་རྒྱ་བརྟག་པའི་མན་ངག་ཅེས་བྱ་བ
Q2618	དབང་ཆོས་རྟེན་འབྲེལ་འགྲོ་ལྡོག
Q2619	བྱང་ཆུབ་ཀྱི་སེམས་བདེ་བ་ཆེན་པོའི་མན་ངག
Q2620	འཆི་བ་བླུ་བའི་མན་ངག
Q2621	རྨི་ལམ་བརྟག་པ
Q2622	པདམ་དྲ་བ་འབྱུང་བའི་སྒྲུབ་ཐབས
Q2623	པདམ་སྤྱན་རས་གཟིགས་དབང་ཕྱུག་གི་པདམ་དྲ་བའི་རིམ་པས་བཅོམ་ལྡན་འདས་ཀྱི་དཀྱིལ་འཁོར་དུ་མཆོད་པའི་ཆོ་ག
Q2624	དཔལ་ནག་པོ་ཆེན་པོའི་རྒྱུད་དྲག་པོའི་བརྟག་པ་དུར་ཁྲོད་ཆེན་པོ་ཞེས་བྱ་བའི་འགྲེལ་པ
Q2625	དཔལ་ནག་པོ་ཆེན་པོའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
Q2626	ཡེ་ཤེས་ཀྱི་མེ་སྦར་བ་ཞེས་བྱ་བའི་སྦྱིན་སྲེག་གི་ཆོ་ག
Q2627	དཔལ་ནག་པོ་ཆེན་པོ་ཡུམ་ཅན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2628	དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2629	དཔལ་མགོན་པོའི་ནང་སྒྲུབ་ཅེས་བྱ་བ
Q2630	དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2631	བྱིན་གྱིས་བརླབས་པའི་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2632	དཔལ་ནག་པོ་ཆེན་པོའི་དབང་བསྐུར་བའི་ཆོ་ག
Q2633	དཔལ་མགོན་པོ་ནག་པོ་བསྒྲུབ་པའི་ཐབའ
Q2634	དཔལ་མགོན་པོའི་ནག་པོའི་གཏོར་མ་ཞེས་བྱ་བ
Q2635	དཔལ་ལྡན་ལྷ་མོ་ནག་མོ་སྒྲུབ་པའི་ཐབས་ཀྱི་ཆོ་ག
Q2636	དཔལ་ལྷ་མོ་དམག་ཟོར་གྱི་མན་ངག
Q2637	དཔལ་ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས
Q2638	ནག་པོ་ཆེན་པོའི་སྒྲུབ་ཐབས
Q2639	དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ
Q2640	དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ
Q2641	དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ
Q2642	རྗེ་བཙུན་དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ
Q2643	དཔལ་ལྷ་མོ་ནག་མོ་ཆེན་མོ་ལ་བསྟོད་པ་བརྒྱད་པ་ཞེས་བྱ་བ
Q2644	དཔལ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ
Q2645	དཔལ་ནག་པོ་ཆེན་པོ་ལ་བསྟོད་པ་རྐང་པ་བརྒྱད་པ་ཞེས་བྱ་བ
Q2646	རྡོ་རྗེ་ནག་པོ་ཆེན་པོའི་བསྟོད་པ་བརྒྱད་པ
Q2647	དཔལ་ལྷ་མོ་༼ནག་མོ་༽ཆེན་མོའི་སྒྲུབ་ཐབས
Q2648	དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་རྒྱུད་འགྲེལ་པ་ཞེས་བྱ་བ
Q2649	ལེའུ་བཅོ་བརྒྱད་པའི་རྒྱ་ཆེར་འགྲེལ་པ
Q2650	སྒྲོན་མ་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་བཤད་པ
Q2651	སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བའི་འགྲེལ་པ
Q2652	གསང་བ་ཐམས་ཅད་ཀྱི་སྒྲོན་མའི་རྒྱ་ཆེར་འགྲེལ་པ
Q2653	རྡོ་རྗེ་བཟླས་པའི་རྒྱ་ཆེར་བཤད་པ
Q2654	ཡེ་ཤེས་རྡོ་རྗེ་ཀུན་ལས་བཏུས་པའི་རྒྱུད་ལས་འབྱུང་བའི་རྒྱན་བདུན་རྣམ་པར་དགྲོལ་བ
Q2655	སྒྲོན་མ་གསལ་བར་བྱེད་པའི་གསལ་བྱེད་ཅེས་བྱ་བའི་དཀའ་འགྲེལ
Q2656	སྒྲོན་མ་གསལ་བ་མདོར་བཤད་པའི་ས་བཅད་སྙིང་གི་མེ་ལོང་ཞེས་བྱ་བ
Q2657	སྒྲོན་མ་གསལ་བར་བྱེད་པའི་༼ཚིག་གི་༽དཀའ་བ་བཏུས་པའི་འགྲེལ་པ་ཞེས་བྱ་བ
Q2658a	སྒྲོན་མ་གསལ་བར་བྱེད་པའི་དགོངས་པ་རབ་གསལ་ཞེས་བྱ་བ་བཤད་པའི་ཊའི་ཀཱ
Q2658b	༼དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་འགྲེལ་པ༽་སྒྲོན་མ་གསལ་པར་བྱེད་པའི་ཊའི་ཀཱ་དགོངས་པ་རབ་གསལ་ཞེས་བྱ་བ
Q2659	སྒྲོན་མ་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བའི་འགྲེལ་བཤད
Q2660	རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་རྡོ་རྗེ་ཕྲེང་བའི་རྒྱ་ཆེར་འགྲེལ་པ་ཟབ་མོའི་དོན་གྱི་འགྲེལ་པ་ཞེས་བྱ་བ
Q2661	སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ
Q2662	རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་གསང་བ་འདུས་པའི་བསྐྱེད་པའི་རིམ་པའི་བསྒོམ་པའི་ཐབས་མདོ་དང་བསྲེས་པ་ཞེས་བྱ་བ
Q2663	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
Q2664	དབང་བཞི་པའི་རབ་ཏུ་བྱེད་པ
Q2665	བྱང་ཆུབ་སེམས་ཀྱི་ཨཱགྲེལ་པ་ཞེས་བྱ་བ
Q2666	བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ
Q2667	རིམ་པ་ལྔ་པ
Q2668	སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ
Q2669	སེམས་ཀྱི་སྒྲིབ་པ་རྣམ་པར་སྦྱོང་བ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ
Q2670	བདག་བྱིན་གྱིས་བརླབ་པའི་རིམ་པ་རྣམ་པར་དབྱེ་བ
Q2671	མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག
Q2672	རོ་བསྲེག་པའི་ཆོ་ག
Q2673	དཔལ་གསང་བ་འདུས་པའི་རྫོགས་རིམ་མཐར་ཕྱིན་པ
Q2674	འདུས་པའི་སྒྲུབ་པའི་ཐབས་རྣམ་པར་བཞག་པའི་རིམ་པ་ཞེས་བྱ་བ
Q2675	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཉི་ཤུ་པ་ཞེས་བྱ་བ
Q2676	ལས་ཀྱི་མཐའ་རྣམ་པར་འབྱེད་པ་ཞེས་བྱ་བ
Q2677	རིམ་པ་ཁོངས་སུ་བསྡུ་བའི་མན་ངག་ཅེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ
Q2678	རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2679	རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས་ཀྱི་འགྲེལ་པ
Q2680	བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས
Q2681	གསང་བ་འདུས་པའི་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ
Q2682	ཟུང་དུ་འཇུག་པ་གསལ་བ་ཞེས་བྱ་བའི་དབང་གི་བྱ་བ
Q2683	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
Q2684	དཔལ་རྡོ་རྗེ་སེམས་དཔའ་མཆོད་པའི་ཆོ་ག
Q2685	གཏོར་མའི་ཆོ་ག
Q2686	རབ་ཏུ་གནས་པའི་ཆོ་གའི་རིམ་པ
Q2687	རྡོ་རྗེ་འཆང་ཆེན་པོའི་ལམ་གྱི་རིམ་པའི་མན་ངག་བདུད་རྩི་གསང་བ
Q2688	རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་གསང་བ་འདུས་པའི་གཏོར་མའི་ཆོ་ག་ཞེས་པ
Q2689	སྦྱིན་སྲེག་གི་ཆོ་ག
Q2690	མདོར་བསྡུས་པའི་སྒྲུབ་ཐབས་ཀྱི་འགྲེལ་པ་རིན་ཆེན་ཕྲེང་བ་ཞེས་བྱ་བ
Q2691	རིམ་པ་ལྔའི་དོན་མདོར་བཤད་པ་རྣལ་འབྱོར་པའི་ཡིད་འཕྲོག་ཅེས་བྱ་བ
Q2692	བསྒྲུབ་པའི་སྤྱོད་པ་ལ་འཇུག་པ
Q2693	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ལྷའི་སྐུ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
Q2694	བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ
Q2695	དད་པ་སྨྲ་བ་ཞེས་བྱ་བའི་བསྟོད་པ
Q2696	རིམ་པ་ལྔ་པའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ
Q2697	རིམ་པ་ལྔ་པའི་བཤད་པ་ནོར་བུའི་ཕྲེང་བ་ཞེས་བྱ་བ
Q2698	རིམ་པ་ལྔའི་དཀའ་འགྲེལ
Q2699	རིམ་པ་ལྔ་པའི་དཀའ་འགྲེལ་དོན་གསལ་བ་ཞེས་བྱ་བ
Q2700	རིམ་པ་ལྔའི་དགོངས་འགྲེལ་ཟླ་བའི་འོད་ཟེར་ཞེས་བྱ་བ
Q2701	སྒྲུབ་ཐབས་མདོར་བྱས་ཀྱི་དཀའ་འགྲེལ
Q2702	རིམ་པ་ལྔའི་དོན་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བ
Q2703	སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ་ཞེས་བྱ་བ་རྒྱ་ཆེར་བཤད་པ
Q2704	རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་པའི་ཐབས་ཀྱི་བཤད་པ
Q2705	རིམ་པ་ལྔ་པའི་འགྲེལ་པ་རིམ་པའི་དོན་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བ
Q2706	དཔལ་གསང་བ་འདུས་པའི་འགྲེལ་པ་མན་ངག་གཏན་དབབ་པ་ཞེས་བྱ་བ
Q2707	དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་མན་ངག་གི་རྒྱ་མཚོ་ཐིགས་པ
Q2708	དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་འགྲེལ་པ
Q2709	རིན་པོ་ཆེའི་ལྗོན་ཤིང་ཞེས་བྱ་བ་གསང་བ་འདུས་པའི་འགྲེལ་པ
Q2710	དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་ཞེས་བྱ་བ
Q2711	དཔལ་གསང་བ་འདུས་པའི་རྒྱན་ཞེས་བྱ་བ
Q2712	ལེའུ་བཅོ་བརྒྱད་པའི་རྣམ་པར་བཤད་པ
Q2713	ཡང་དག་རིག་བྱེད་ཅེས་བྱ་བ་ཕྱི་མའི་རྒྱུད་ཀྱི་རྣམ་པར་བཤད་པ
Q2714	གསང་བ་འདུས་པའི་བཤད་སྦྱར་སྙིམ་པའི་མེ་ཏོག་ཅེས་བྱ་བ
Q2715	དཔལ་གསང་བ་འདུས་པ་རྒྱུད་ཀྱི་རྒྱལ་པོའི་བཤད་པ་ཟླ་བའི་འོད་ཟེར་ཞེས་བྱ་བ
Q2716	རིམ་པ་གཉིས་པའི་དེ་ཁོ་ན་ཉིད་སྒོམ་པ་ཞེས་བྱ་བའི་ཞལ་གྱི་ལུང
Q2717	ཞལ་གྱི་ལུང
Q2718	ཀུན་ཏུ་བཟང་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
Q2719	ཡན་ལག་བཞི་པའི་སྒྲུབ་ཐབས་ལུན་ཏུ་བཟང་མོ་ཞེས་བྱ་བ
Q2720	དཔལ་ཧེ་རུ་ཀའི་སྒྲུབ་པའི་ཐབས
Q2721	དཔལ་ཧེ་རུ་ཀ་སྒྲབ་པའི་ཐབས་ཀྱི་འགྲེལ་པ
Q2722	གྲོལ་བའི་ཐིག་ལེ་ཞེས་བྱ་བ
Q2723	བདག་སྒྲུབ་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ
Q2724	རྗེ་བཙུན་འཕགས་པ་གནོད་འཛིན་ཆུ་དབང་གི་སྒྲུབ་པའི་ཐབས
Q2725	གསང་བའི་ཛམ་བྷ་ལའི་སྒྲུབ་ཐབས
Q2726	རྒྱ་ཆེ་བའི་ཛམ་བྷ་ལའི་སྒྲུབ་པའི་ཐབས
Q2727	སྟང་སྟབས་ཀྱི་བཀོད་པ
Q2728	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
Q2729	མཛེས་པའི་མེ་ཏོག་ཅེས་བྱ་བ་རིམ་པ་གཉིས་པའི་དེ་ཁོ་ན་ཉིད་བསྒོམ་པ་ཞལ་གྱི་ལུང་གི་འགྲེལ་པ
Q2730	ཀུན་ཏུ་བཟང་པོའི་སྒྲུབ་པའི་ཐབས་ཀྱི་འགྲེལ་པ
Q2731	དཔལ་ཀུན་ཏུ་བཟང་པོའི་སྒྲུབ་ཐབས་ཀྱི་འགྲེལ་པ
Q2732	ཡན་ལག་བཞི་པའི་སྒྲུབ་ཐབས་ཀྱི་རྒྱ་ཆེར་བཤད་པ་སྙིང་པོ་རྙེ་མ་ཞེས་བྱ་བ
Q2733	གྲོལ་བའི་ཐིག་ལེ་ཞེས་བྱ་བའི་རྣམ་པར་བཤད་པ
Q2734	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་གའི་འགྲེལ་པ
Q2735	ཡན་ལག་བཞི་པའི་སྒྲུབ་ཐབས་ཀུན་ཏུ་བཟང་མོ་ཞེས་བྱ་བའི་རྣམ་པར་བཤད་པ
Q2736	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་སྒྲུབ་པའི་ཐབས་རྣམ་པར་བཤད་པ
Q2737	དཔལ་གསང་བ་འདུས་པའི་སྒྲུབ་པའི་ཐབས་དངོས་གྲུབ་འབྱུང་བའི་གཏེར་ཞེས་བྱ་བ
Q2738	སྦྱོར་བ་བདུན་པ་ཞེས་བྱ་བ་དབང་བཞིའི་རབ་ཏུ་བྱེད་པ
Q2739	གཏོར་མ་ཆེན་པོའི་ཆོ་ག
Q2740	མི་ཤིགས་པའི་རིན་པོ་ཆེ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
Q2741	བདག་གི་དོན་གྲུབ་པར་བྱེད་པ་ཞེས་བྱ་བ་རྣལ་འབྱོར་གྱི་བྱ་བའི་རིམ་པ
Q2742	སྦྱོར་བ་ཡན་ལག་དྲུག་གི་སྣང་བའི་རིམ་པ
Q2743	དཔལ་གསང་བ་འདུས་པའི་འཇམ་དཔལ་གྱི་སྒྲུབ་ཐབས
Q2744	ཀུན་ཏུ་བཟང་པོའི་བསྡུས་དོན
Q2745	དཔལ་གསང་བ་འདུས་པའི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
Q2746	དཀྱིལ་འཁོར་གྱི་ཆོ་ག
Q2747	དགའ་བའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
Q2748	དཔལ་མི་བསྐྱོད་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས
Q2749	དཔལ་གསང་བ་འདུས་པ་རྟོགས་སླ་ཞིང་མདོར་བསྡུས་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2750	དབང་གི་རབ་ཏུ་བྱེད་པ
Q2751	༼གསང་བ༽་འདུས་པའི་དབང་བསྐུར་བའི་ཆོ་ག་མདོར་བསྡུས་པ
Q2752	ཡན་ལག་བདུན་པ
Q2753	དེ་ཁོ་ན་ཉིད་རིན་པོ་ཆེ་སྣང་བ
Q2754	དེ་ཁོ་ན་ཉིད་རིན་པོ་ཆེ་སྣང་བའི་རྣམ་པར་བཤད་པ
Q2755	རབ་ཏུ་གསལ་བ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
Q2756	དཔལ་གསང་བ་འདུས་པ་འཇིག་རྟེན་དབང་ཕྱུག་གི་བསྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
Q2757	འཕགས་པ་སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས
Q2758	དཔལ་གསང་བ་འདུས་པའི་བསྟོད་པ
Q2759	དེ་ཁོ་ན་ཉིད་བཅུ་པ
Q2760	རབ་ཏུ་གནས་པའི་ཆོ་ག
Q2761	བསྟན་པའི་ནོར་ཐམས་ཅད་པ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
Q2762	ཁྲོ་བོ་བཅུའི་གཏོར་མའི་ཆོ་ག
Q2763	དབང་བསྐུར་བའི་རབ་ཏུ་བྱེད་པ
Q2764	སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བའི་འགྲེལ་པ
Q2765	སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ
Q2766	འཇམ་པའི་རྡོ་རྗེ་མཆོད་པའི་ཆོ་ག
Q2767	ཨརགྷའི་ཆོ་ག
Q2768	རབ་ཏུ་གནས་པའི་ཆོ་ག
Q2769	རབ་ཏུ་གནས་པའི་ཆོ་ག་ཞེས་བྱ་བ
Q2770	ཐ་མའི་མཆོད་པའི་ཆོ་ག
Q2771	དཔལ་ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་རྒྱུད་ལས་ཕྱུང་བ་སྤྱན་མའི་ངན་སོང་སྦྱོང་བའི་ཆོ་ག
Q2772	རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གསང་བ་འདུས་པའི་རྣམ་པར་བཤད་པ
Q2773	གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་གླེང་གཞི་བླ་མའི་མན་ངག་གི་བཤད་པ
Q2774	དཔལ་བདེ་བ་ཆེན་པོའི་སྒྲུབ་ཐབས
Q2775	དཔལ་བདེ་བ་ཆེན་པོ་སྒྲུབ་པའི་ཐབས་རྣམ་པར་བཤད་པ
Q2776	དཔལ་གསང་བ་འདུས་པ་ལྷན་ཅིག་སྐྱེས་པའི་སྒྲུབ་ཐབས
Q2777	རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གསང་བ་འདུས་པའི་འགྲེལ་པ
Q2778	ལྷ་མོ་བཞིས་ཡོངས་སུ་ཞུས་པའི་རྣམ་པར་བཤད་པ་མན་ངག་རྒྱས་པ་ཞེས་བྱ་བ
Q2779	ལྷ་མོ་བཞིས་ཡོངས་སུ་ཞུས་པའི་རྣམ་པར་བཤད་པ
Q2780	དཔལ་གསང་བ་འདུས་པའི་དཀའ་འགྲེལ
Q2781	དཔལ་གཤིན་རྗེ་གཤེད་ཀྱི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་ལྷན་ཅིག་སྐྱེས་པའི་སྣང་བ་ཞེས་བྱ་བ
Q2782	དཔལ་གཤིན་རྗེའི་དགྲ་ནག་པོའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་དཀའ་འགྲེལ་རིན་པོ་ཆེའི་སྒྲོན་མ་ཞེས་བྱ་བ
Q2783	གཤིན་རྗེ་གཤེད་ནག་པོའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་མངོན་པར་མཐོང་བ་ལམ་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་བཤད་པ
Q2784	གཤིན་རྗེ་གཤེད་ནག་པོའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་རིན་པོ་ཆེའི་འཕྲེང་བ་ཞེས་བྱ་བ
Q2785	གཤིན་རྗེའི་དགྲ་ནག་པོའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ
Q2786	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2787	གཤིན་རྗེ་གཤེད་ནག་པོའི་དཀྱིལ་འཁོར་གྱི་སྒྲུབ་ཐབས
Q2788	རྡོ་རྗེ་དབྱངས་ཅན་མའི་བསྟོད་པ
Q2789	གཤིན་རྗེ་དགྲའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་གཤིན་རྗེ་གཤེད་འབྱུང་བ་ཞེས་བྱ་བ
Q2790	མཆོད་རྟེན་བསྒྲུབ་པའི་ཆོ་ག་མདོར་བསྡུས་པ
Q2791	བསྲུང་བའི་འཁོར་ལོ་སྒྲུབ་པའི་ཐབས
Q2792	གཤིན་རྗེ་གཤེད་ནག་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
Q2793	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས
Q2794	དཔལ་གཤིན་རྗེའི་གཤེད་དགྲ་ནག་པོའི་སྒྲུབ་ཐབས་འཁོར་ལོའི་དོན་རྒྱས་པར་བཤད་པ་དང་བཅས་པ
Q2795	གཤིན་རྗེའི་གཤེད་ནག་པོ་སྒྲུབ་པའི་ཐབས
Q2796	མཎཌལ་གྱི་ཆོ་ག
Q2797	མཎཌལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ
Q2798	གཤིན་རྗེའི་དགྲ་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཀུ་མུ་ད་ཁ་བྱེ་བ་ཞེས་བྱ་བ
Q2799	དཔལ་གཤིན་རྗེ་གཤེད་ནག་པོ་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
Q2800	ཁྲོ་བོའི་རྒྱལ་པོ་གཤིན་རྗེ་གཤེད་ནག་པོ་དུས་མཐར་ཕྱིན་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2801	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2802	གཤིན་རྗེ་གཤེད་རྣམ་པར་སྣང་མཛད་ཀྱི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ
Q2803	གཤིན་རྗེ་གཤེད་རིན་ཆེན་འབྱུང་ལྡན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2804	འོད་དཔག་ཏུ་མེད་པའི་སྙིང་པོ་འདོད་ཆགས་གཤིན་རྗེ་གཤེད་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
Q2805	གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་རྣོན་པོ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
Q2806	རྡོ་རྗེ་སེམས་མ་བདེ་བའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2807	རྡོ་རྗེ་མཁའ་འགྲོ་མ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
Q2808	རྡོ་རྗེ་བདེ་རྒྱས་དབྱངས་ཅན་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
