C1	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
C258	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་མན་ངག་སྦྱོར་བ་ཡན་ལག་དྲུག་གི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ
C259	ཡན་ལག་དྲུག་གི་སྦྱོར་བའི་མན་ངག
C260	རྣལ་འབྱོར་ཡན་ལག་དྲུག་པ
C261	སྦྱོར་བའི་ཕྲེང་བ
C262	ནང་གི་སྙེ་མ
C263	སྙིང་པོ་རྡོ་རྗེའི་ཚིག
C264	རྡོ་རྗེ་ཐེག་པ་དུས་ཀྱི་འཁོར་ལོའི་རྩ་བའི་ལྟུང་བ
C265	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་སྡོམ་ཚིག
C266	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་བསྟོད་པ་རྒྱུན་ཆགས་པ
C267	བརྒྱད་བརྒྱད་དྲུག་ཅུ་རྩ་བཞིའི་རྣལ་འབྱོར་མ་རྣམས་ཀྱི་གཏོར་མའི་ཆོ་ག
C268	དུས་ཀྱི་འཁོར་ལོ་ལ་འཇུག་པ
C269	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་རྩིས་ཀྱི་མན་ངག
C270	ཉི་ཟླ་འཛིན་པའི་རྩིས
C271	གཟའ་ལྔ་སོ་སོའི་རྩིས་ཀྱི་མན་ངག
C272	སྦྱོར་བ་ཡན་ལག་དྲུག་པ
C273	རྣལ་འབྱོར་ཡན་ལག་དྲུག་གི་བརྗེད་བྱང་ཡོན་ཏན་གྱིས་འགེངས་པ
C274	དབང་མདོར་བསྟན་པའི་བརྗེད་བྱང་
C275	རྡོ་རྗེའི་ཚིག་གི་སྙིང་པོ་བསྡུས་པ
C276	རྡོ་རྗེ་ཚིག་གི་སྙིང་པོ་བསྡུས་པ་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
C277	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་རབ་ཏུ་གནས་པའི་ཆོ་ག
C278	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་ཚོགས་འཁོར་གྱི་ཆོ་ག
C279	དཔལ་དུས་ཀྱི་འཁོར་ལོའི་སྦྱིན་སྲེག་གི་ཆོ་ག
C280	འཕགས་པ་མཚན་ཡང་དག་པར་བརྗོད་པའི་མདོར་བཤད་བདུད་རྩིའི་ཐིགས་པ
C281	འཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་འགྲེལ་པ་བདུད་རྩིའི་ཐིགས་པ་སྒྲོན་མ་གསལ་བ
C282	འཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་རྣམ་པར་བཤད་པ
C283	འཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་འགྲེལ་པ་དྲི་མ་མེད་པའི་འོད
C284	འཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་ཕན་ཡོན་གྱི་འགྲེལ་པ
C285	འཕགས་པ་འཇམ་དཔལ་གྱི་མཚན་ཡང་དག་པར་བརྗོད་པའི་མངོན་པར་རྟོགས་པ
C286	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀའ་འགྲེལ་སྒྲུབ་པའི་ཐབས་ཀྱི་གླེང་གཞི
C287	མངོན་པར་བརྗོད་པ་འབུམ་པ་ལས་ཕྱུང་བ་ཉུང་ངུའི་རྒྱུད་ཀྱི་བསྡུས་པའི་དོན་རྣམ་པར་བཤད་པ
C288	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀའ་འགྲེལ
C289	རིན་པོ་ཆེའི་ཚོགས་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
C290	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀའ་འགྲེལ་དཔའ་བོའི་ཡིད་དུ་འོང་བ
C291	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རྩ་བའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ
C292	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་གནས་ཐམས་ཅད་རྒྱ་ཆེར་འགྲེལ་པ
C293	ཡོན་ཏན་མ་ལུས་པའི་གནས་ཞེས་བྱ་བའི་འགྲེལ་པ
C294	གཉིས་ཀའི་བཤད་སྦྱར
C295	དཔལ་སྡོམ་པའི་འགྲེལ་པ་དཔལ་དེ་ཁོ་ན་ཉིད་མཁས་པ
C296	སྡོམ་པའི་རྒྱུད་ཆུང་ངུའི་མཚམས་སྦྱོར
C297	དཔལ་བདེ་མཆོག་གི་རྒྱ་ཆེར་བཤད་པ་ཚིག་དོན་རབ་ཏུ་གསལ་བ
C298	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་བདེ་མཆོག་བསྡུས་པ་ཞེས་བྱ་བའི་རྣམ་པར་བཤད་པ
C299	རྩ་བའི་རྒྱུད་ཀྱི་སྙིང་པོ་འདུས་པ་ངེས་པར་བརྗོད་པའི་རྒྱུད་བླ་མ་རྩ་བ་རྩ་བའི་འགྲེལ་པ
C300	རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོ་དཔལ་རྡོ་རྗེ་མཁའ་འགྲོ་ཞེས་བྱ་བའི་རྣམ་པར་བཤད་པ
C301	གསང་བ་རྡོ་རྗེའི་རྒྱུད་ཀྱི་རྒྱལ་པོའི་འགྲེལ་པ
C302	དཔལ་རྡོ་རྗེ་མཁའ་འགྲོ་རྒྱུད་ཀྱི་དེ་ཁོ་ན་ཉིད་རབ་ཏུ་བརྟན་པར་བྱེད་པ་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
C303	དཔལ་གསང་ཆེན་པདྨ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་འགྲེལ་པ
C304	དཔལ་མཁའ་འགྲོ་རྒྱ་མཚོ་རྣལ་འབྱོར་མའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་འགྲེལ་པ་གྲུ་གཟིངས
C305	དཔལ་སྡོམ་པ་འབྱུང་བའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་དཀའ་འགྲེལ་པདྨ་ཅན
C306	དཔལ་ཧེ་རུ་ཀ་མངོན་པར་འབྱུང་བ་རྣལ་འབྱོར་མའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་དཀའ་འགྲེལ་ཡི་གེ་ཉུང་ངུ
C307	རྣལ་འབྱོར་མ་ཀུན་ཏུ་སྤྱོད་པའི་བཤད་སྦྱར
C308	རྣལ་འབྱོར་མ་ཀུན་སྤྱོད་ཀྱི་འགྲེལ་པ
C309	ནམ་མཁའ་དང་མཉམ་པ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་འགྲེལ་པ
C310	དཔལ་འཁོར་ལོ་སྡོམ་པའི་མཚན་བརྒྱ་རྩ་བརྒྱད་པའི་བསྟོད་པ
C311	དེ་ཁོ་ན་ཉིད་ཀྱི་སྙིང་པོ་སྒྲུབ་པ
C312	དཔལ་བཅོམ་ལྡན་འདས་མངོན་པར་རྟོགས་པ
C313	དཔལ་འཁོར་ལོ་སྡོམ་པའི་བསྟོད་པ་དོན་ཐམས་ཅད་གྲུབ་པ་རྣམ་དག་གཙུག་གི་ནོར་བུ
C314	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་དེ་ཁོ་ན་ཉིད་ཀྱིས་བསྡུས་པ
C315	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་དེ་ཁོ་ན་ཉིད་ལ་འཇུག་པ
C316	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དབང་གི་བྱ་བ་མདོར་བསྡུས་པ
C317	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་པའི་ཐབས
C318	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རིམ་པ་ལྔ་པ
C319	འཁོར་ལོ་སྡོམ་པའི་ལུས་དཀྱིལ་གྱི་མངོན་རྟོགས
C320	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རིམ་པ་ལྔ་པའི་འགྲེལ་པ
C321	བདེ་མཆོག་ལྷན་ཅིག་སྐྱེས་པའི་སྒྲུབ་ཐབས
C322	བཅོམ་ལྡན་འདས་འཁོར་ལོ་བདེ་མཆོག་སྒྲུབ་པའི་ཐབས་རིན་པོ་ཆེ་ཡིད་བཞིན་གྱི་ནོར་བུ
C323	དཔལ་བདེ་མཆོག་ཕྱག་གཉིས་པའི་ལྷན་ཅིག་སྐྱེས་པའི་སྒྲུབ་ཐབས
C324	ཚོགས་ཀྱི་འཁོར་ལོའི་ཆོ་ག
C325	དཔལ་འཁོར་ལོའི་སྡོམ་པའི་བསྟོད་པ
C326	དཀྱིལ་འཁོར་གྱི་ལྷ་ལ་བསྟོད་པ་རིན་པོ་ཆེ་སྒྱུ་འཕྲུལ་སྦྱིན་པ
C327	དཔལ་རྡོ་རྗེ་མཁའ་འགྲོའི་བསྟོད་པ་རྒྱུན་ཆགས
C328	བཅོམ་ལྡན་འདས་དཔལ་འཁོར་ལོ་བདེ་མཆོག་གི་སྒྲུབ་ཐབས་རིན་པོ
C329	དཔལ་འཁོར་ལོ་བདེ་མཆོག་གི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་རིན་པོ་ཆེ་རབ་ཏུ་གསལ་བའི་སྒྲོན་མ
C330	དཔལ་འཁོར་ལོ་སྡོམ་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
C331	བཅོམ་ལྡན་འདས་དཔལ་བདེ་མཆོག་འཁོར་ལོའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
C332	དཔལ་བདེ་མཆོག་འཁོར་ལོའི་སྦྱིན་སྲེག་གི་ཆོ་ག
C333	དཔྱིད་ཀྱི་ཐིག་ལེ
C334	དཔྱིད་ཀྱི་ཐིག་ལེའི་རྒྱ་ཆེར་འགྲེལ་པ
C335	གསང་བའི་དེ་ཁོ་ན་ཉིད་རབ་ཏུ་གསལ་བ
C336	རིམ་པ་བཞི་པ
C337	རིམ་པ་བཞི་པའི་རྣམ་པར་འབྱེད་པ
C338	ཡི་གེ་བདུན་པའི་སྒྲུབ་ཐབས
C339	དཔལ་རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས
C340	འཁོར་ལོ་བདེ་མཆོག་གི་རྒྱུན་བཤགས
C341	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྙིང་པོའི་དེ་ཁོ་ན་ཉིད་གྲུབ་པ
C342	དཔལ་ལྷན་ཅིག་སྐྱེས་པའི་མན་ངག
C343	དཔལ་ལྷན་ཅིག་སྐྱེས་པ་བདེ་བའི་མཆོག་བདག་བྱིན་གྱིས་བརླབ་པ
C344	དཔལ་ལྷན་ཅིས་སྐྱེས་པ་བདེ་བའི་མཆོག་བདག་བྱིན་གྱིས་བརླབ་པ
C345	སྡོམ་པ་བཤད་པ
C346	ཡི་གེ་བདུན་པའི་སྒྲུབ་ཐབས
C347	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་བདུད་རྩི་འཛགས་པ
C348	བདེ་མཆོག་ཤེས་པར་བྱེད་པ
C349	དཔའ་བོ་གཅིག་པའི་སྒྲུབ་ཐབས
C350	དཔལ་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བའི་དཀའ་འགྲེལ
C351	དཔལ་འཁོར་ལོ་སྡོམ་པའི་ཕྱི་རོལ་གྱི་མཆོད་པའི་ཆོ་ག
C352	དཔལ་འཁོར་ལོ་སྡོམ་པའི་གཏོར་མའི་ཆོ་ག
C353	དཔལ་འཁོར་ལོ་སྡོམ་པའི་ལག་མཆོད་ཀྱི་ཆོ་ག
C354	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་མདོར་བསྡུས་པ
C355	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དབང་གི་བྱ་བའི་རིམ་པ
C356	དཔལ་ལྷན་ཅིག་སྐྱེས་པའི་བདེ་བའི་མཆོག་བདག་བྱིན་གྱིས་བརླབ་པ
C357	དཔའ་བོ་གཅིག་པ་ཧེ་རུ་ཀའི་སྒྲུབ་ཐབས
C358	བདེ་མཆོག་གི་སྦྱིན་སྲེག་སྤྱིའི་གསལ་བྱེད
C359	དཔལ་འཁོར་ལོ་སྡོམ་པའི་ཞི་བའི་སྦྱིན་སྲེག་གི་ཆོ་ག་བསྡུས་པ
C360	དཔལ་བདེ་མཆོག་གི་སཱ་ཙྪ་བརྗོད་པར་བྱ་བ
C361	འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས
C362	འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས
C363	དཔལ་ཧེ་རུ་ཀའི་སྒྲུབ་ཐབས
C364	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་གྱི་བཀྲ་ཤིས་ཚིགས་སུ་བཅད་པ
C365	དེ་ཁོ་ནའི་སྙིང་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
C366	ཧེ་རུ་ཀའི་རྣམ་པར་དག་པ
C367	རྗེ་བཙུན་དཔལ་ཧེ་རུ་ཀ་སྒྲུབ་པའི་ཐབས་མདོར་བསྡུས་པ
C368	ཡི་གེ་བདུན་པའི་སྒྲུབ་ཐབས
C369	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་རིན་པོ་ཆེའི་སྒྲོན་མ
C370	དཔལ་འཁོར་ལོ་སྡོམ་པའི་མན་ངག
C371	དཔལ་འཁོར་ལོ་སྡོམ་པའི་བཅུ་གསུམ་མའི་བདག་ཉིད་ཀྱི་དབང་བསྐུར་བའི་ཆོ་ག
C372	དཔལ་འཁོར་ལོ་སྡོམ་པའི་རབ་གནས
C373	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས་ཚིགས་བཅད་སུམ་ཅུ་པ
C374	བཅུ་གསུམ་གྱི་བདག་ཉིད་དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
C375	མངོན་པར་རྟོགས་པ་རྣམ་པར་འབྱེད་པ
C376	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྒྲུབ་ཐབས
C377	དཔལ་བཅོམ་ལྡན་འདས་ཀྱི་མངོན་པར་རྟོགས་པ
C378	དཔའ་བོ་གཅིག་པའི་སྒྲུབ་ཐབས
C379	རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུ
C380	རྡོ་རྗེ་གདན་གྱི་རྡོ་རྗེའི་གླུའི་འགྲེལ་པ
C381	སྤྱོད་པའི་གླུ
C382	སྤྱོད་པའི་གླུའི་འགྲེལ་པ
C383	དཔལ་འཁོར་ལོ་སྡོམ་པའི་མངོན་པར་རྟོགས་པ
C384	དབང་གི་རབ་ཏུ་བྱེད་པ
C385	རང་བྱིན་གྱིས་བརླབ་པའི་རིམ་པའི་མན་ངག
C386	བཅོམ་ལྡན་འདས་འཇམ་པའི་རྡོ་རྗེའི་སྒྲུབ་ཐབས
C387	སྦྱིན་སྲེག
C388	དཔལ་རྡོ་རྗེ་མཁའ་འགྲོ་ཞེས་བྱ་བའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ལས་བཏུས་པའི་སྒྲུབ་པའི་ཐབས་བྱང་ཆུབ་ཀྱི་སེམས་ཀུན་ཏུ་གཟིགས་པའི་ཕྲེང་བ
C389	དཔལ་འཁོར་ལོ་སྡོམ་པའི་ལྷན་ཅིག་སྐྱེས་པའི་དེ་ཁོ་ན་ཉིད་སྣང་བ
C390	དཔལ་འཁོར་ལོ་སྡོམ་པའི་སྙིང་པོ་དེ་ཁོ་ན་ཉིད་བསྡུས་པ
C391	ལྷན་ཅིག་སྐྱེས་པའི་དེ་ཁོ་ན་ཉིད་སྣང་བ
C392	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དེ་ཁོ་ན་ཉིད་ཀྱི་མན་ངག
C393	དཔལ་འཁོར་ལོ་སྡོམ་པའི་གཉིས་སུ་མེད་པའི་བསམ་གཏན་གྱི་མན་ངག་རྣལ་འབྱོར་གྱི་གཏུམ་མོ
C394	ལཱུ་ཡི་པའི་མངོན་པར་རྟོགས་པའི་འགྲེལ་པ་སྡོམ་པ་འབྱུང་བ
C395	ལཱུ་ཡི་པའི་མངོན་པར་རྟོགས་པའི་འགྲེལ་པའི་ཊཱི་ཀཱ་ཁྱད་པར་གསལ་བྱེད
C396	དཔལ་བདེ་མཆོག་གི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
C397	དཔལ་བདེ་མཆོག་འཁོར་ལོའི་མངོན་པར་རྟོགས་པའི་དཀའ་འགྲེལ
C398	དཔལ་བདེ་མཆོག་འཁོར་ལོའི་ཆོ་ག་ཡིད་འོང་ཕྲེང་བ
C399	ཡེ་ཤེས་འབྱུང་བའི་མན་ངག
C400	དཔལ་སྡོམ་པ་འབྱུང་བའི་སྒྲུབ་ཐབས
C401	དཔལ་མཁའ་འགྲོ་རྒྱ་མཚོའི་རྒྱུད་ཀྱི་དཀྱིལ་འཁོར་གྱི་འཁོར་ལོའི་སྒྲུབ་ཐབས་པདྨ་རཱ་གའི་གཏེར
C402	རྐང་པ་བཞི་བཅུ་རྩ་བརྒྱད་པ་བསྒྱུར་བའི་བསྟོད་པ
C403	གཏོར་མའི་ཆོ་ག་རིན་ཆེན་ཨ་སྨ་གརབྷ
C404	བླ་མའི་མཎྜལ
C405	དཔལ་འཁོར་ལོ་སྡོམ་པའི་བསྟོད་པ
C406	དཔལལ་མཁའ་འགྲོ་རྒྱ་མཚོ་མངོན་པར་དབང་བསྐུར་བའི་ཆོ་ག
C407	དཔལ་མཁའ་འགྲོ་རྒྱ་མཚོའི་སྦྱིན་སྲེག་གི་ཆོ་ག
C408	རང་བྱིན་གྱིས་བརླབ་པའི་མན་ངག་གི་སྒྲུབ་ཐབས
C409	དཔལ་གསང་བ་རིན་པོ་ཆེ་ཡིད་བཞིན་ནོར་བུ
C410	གསང་བ་རིན་པོ་ཆེ
C411	བདུད་རྩི་འོད་ཟེར་ཅན
C412	དཔལརྡོ་རྗེ་མཁའ་འགྲོ་ལུས་མེད་པའི་ཆོས
C413	དཔལ་རྡོ་རྗེ་མཁའ་འགྲོ་མ་ལྟ་སྒོམ་སྤྱོད་གསུམ་གྱི་བརྡ་བསྟན་པ
C414	དཔལ་སྡོམ་པའི་མན་ངག་ཞལ་ནས་སྙན་དུ་བརྒྱུད་པ་ཡིད་བཞིན་ནོར་བུ
C415	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་གྱི་བསྟོད་པ
C416	དཔལ་འཁོར་ལོ་སྡོམ་པའི་དཀྱིལ་འཁོར་གྱི་ལྷ་ཚོགས་ལས་བསྟོད་པ
C417	དཔལ་འཁོར་ལོ་སྡོམ་པ་ལ་བསྟོད་པ
C418	དཔལ་འཁོར་ལོ་བདེ་མཆོག་གི་རྒྱུན་བཤགས་རྒྱས་པ
C419	ལམ་གྱི་རབ་ཏུ་བྱ་བ
C420	དབང་གི་ཆོ་གའི་རིམ་པ
C421	དཔལ་འཁོར་ལོ་སྡོམ་པ་དཔའ་བོ་གཅིག་པའི་སྒྲུབ་ཐབས
C422	དཔལ་བདེ་མཆོག་འཁོར་ལོའི་སྦྱིན་སྲེག་གི་ཆོ་ག
C423	དཔལ་འཁོར་ལོ་བདེ་མཆོག་འབྱུང་བ་ཞེས་བྱ་བའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
C424	ལྷན་ཅིག་སྐྱེས་པའི་དཀྱིལ་འཁོར་གསུམ་གསལ་བར་བྱེད་པ
C425	སྒྲོན་མ་བཞིའི་ཊཱི་ཀཱ
C426	དཔལ་རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་ཐབས
C427	རྡོ་རྗེ་ཕག་མོ་སྒྲུབ་པའི་ཐབས
C428	རྡོ་རྗེ་རྣལ་འབྱོར་མ་ལ་མཆོད་པ་མདོར་བསྡུས་པ
C429	དཔལ་རྡོ་རྗེ་ཕག་མོ་སྒྲུབ་པའི་ཐབས
C430	གྲུབ་པའི་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་པའི་ཐབས
C431	དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྔགས་ཀྱི་དེ་ཁོ་ན་ཉིད་ཀྱིས་བྱིན་གྱིས་བརླབས་པའི་རིམ་པ
C432	རྣལ་འབྱོར་མའི་སྒྲུབ་པའི་ཐབས
C433	རྡོ་རྗེ་རྣལ་འབྱོར་མ་དམར་མོའི་སྒྲུབ་ཐབས
C434	རྡོ་རྗེ་རྣལ་འབྱོར་དཀར་མོའི་སྒྲུབ་ཐབས
C435	དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས
C436	དཔལ་དེ་ཁོ་ན་ཉིད་ཡེ་ཤེས་གྲུབ་པ
C437	དོན་ཐམས་ཅད་གྲུབ་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
C438	ཡེ་ཤེས་འཕོ་བ
C439	རྡོ་རྗེ་ཕག་མོ་དབུ་བཅད་མའི་སྒྲུབ་ཐབས
C440	དབུ་བཅད་པའི་སྒྲུབ་ཐབས
C441	དཔལ་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྦྱིན་སྲེག་གི་ཆོ་ག
C442	རིགས་ལྡན་མའི་དེ་ཁོ་ན་ཉིད་ངེས་པ
C443	རྗེ་བཙུན་རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས
C444	རུས་སྦལ་ཞབས་ཀྱི་སྒྲུབ་པའི་ཐབས
C445	ཕག་མོ་ཐུགས་ཀྱི་སྒྲུབ་ཐབས
C446	རྡོ་རྗེ་རྣལ་འབྱོར་མ་མཁའ་སྤྱོད་མ་དམར་མོའི་སྒྲུབ་ཐབས
C447	སློབ་མ་རྗེས་སུ་གཟུང་བའི་ཆོ་ག
C448	རྡོ་རྗེ་རྣལ་འབྱོར་མའི་དབང་མདོར་བསྡུས་པ
C449	རྡོ་རྗེ་རྣལ་འབྱོར་མའི་ཚོགས་ཀྱི་འཁོར་ལོའི་ཆོ་ག
C450	རྣལ་འབྱོར་གྱི་རྗེས་སུ་འབྲང་བ
C451	སྙིང་པོའི་དོན་བསྡུས་པ
C452	རྡོ་རྗེ་རྣལ་འབྱོར་མའི་མཆོད་པའི་ཆོ་ག
C453	ཀེང་རུས་ཏཱ་ར་ནའི་སྒྲུབ་ཐབས
C454	ཀེང་རུས་ཏཱ་ར་ནའི་སྒྲུབ་ཐབས་ཀྱི་འགྲེལ་པ་གཞན་ལ་ཕན་པ
C455	རྡོ་རྗེ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས
C456	རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་ཐབས
C457	རྡོ་རྗེ་ཕག་མོའི་སྒྲུབ་ཐབས
