G1	ཁྱད་པར་དུ་འཕགས་པའི་བསྟོད་པ
G657	ཡེ་ཤེས་རྡོ་རྗེ་ཀུན་ལས་བཏུས་པའི་རྒྱུད་ལས་འབྱུང་བའི་རྒྱན་བདུན་རྣམ་པར་དགྲོལ་བ
G658	སྒྲོན་མ་གསལ་བར་བྱེད་པའི་གསལ་བྱེད་ཅེས་བྱ་བའི་དཀའ་འགྲེལ
G659	སྒྲོན་མ་གསལ་བ་མདོར་བཤད་པའི་ས་བཅད་སྙིང་གི་མེ་ལོང་ཞེས་བྱ་བ
G660	སྒྲོན་མ་གསལ་བར་བྱེད་པའི
G662	སྒྲོན་མ་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བའི་འགྲེལ་བཤད
G663	རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་རྡོ་རྗེ་ཕྲེང་བའི་རྒྱ་ཆེར་འགྲེལ་པ་ཟབ་མོའི་དོན་གྱི་འགྲེལ་པ་ཞེས་བྱ་བ
G664	སྒྲུབ་པའི་ཐབས་མདོར་བྱས་པ
G665	རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་གསང་བ་འདུས་པའི་བསྐྱེད་པའི་རིམ་པའི་བསྒོམ་པའི་ཐབས་མདོ་དང་བསྲེས་པ་ཞེས་བྱ་བ
G666	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
G667	དབང་བཞི་པའི་རབ་ཏུ་བྱེད་པ
G668	བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ་ཞེས་བྱ་བ
G669	བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པ
G670	རིམ་པ་ལྔ་པ
G671	སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ
G672	སེམས་ཀྱི་སྒྲིབ་པ་རྣམ་པར་སྦྱོང་བ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ
G673	བདག་བྱིན་གྱིས་བརླབ་པའི་རིམ་པ་རྣམ་པར་དབྱེ་བ
G674	མངོན་པར་བྱང་ཆུབ་པའི་རིམ་པའི་མན་ངག
G675	རོ་བསྲེག་པའི་ཆོ་ག
G676	དཔལ་གསང་བ་འདུས་པའི་རྫོགས་རིམ་མཐར་ཕྱིན་པ
G677	དུས་པའི་སྒྲུབ་པའི་ཐབས་རྣམ་པར་བཞག་པའི་རིམ་པ་ཞེས་བྱ་བ
G678	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཉི་ཤུ་པ་ཞེས་བྱ་བ
G679	ལས་ཀྱི་མཐའ་རྣམ་པར་འབྱེད་པ་ཞེས་བྱ་བ
G680	རིམ་པ་ཁོངས་སུ་བསྡུ་བའི་མན་ངག་ཅེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ
G681	རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G682	རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་ཐབས་ཀྱི་འགྲེལ་པ
G683	བདུད་རྩི་འཁྱིལ་པའི་སྒྲུབ་ཐབས
G684	གསང་བ་འདུས་པའི་མངོན་པར་རྟོགས་པའི་རྒྱན་གྱི་འགྲེལ་པ
G685	ཟུང་དུ་འཇུག་པ་གསལ་བ་ཞེས་བྱ་བའི་དབང་གི་བྱ་བ
G686	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G687	དཔལ་རྡོ་རྗེ་སེམས་དཔའ་མཆོད་པའི་ཆོ་ག
G688	གཏོར་མའི་ཆོ་ག
G689	རབ་ཏུ་གནས་པའི་ཆོ་གའི་རིམ་པ
G690	རྡོ་རྗེ་འཆང་ཆེན་པོའི་ལམ་གྱི་རིམ་པའི་མན་ངག་བདུད་རྩི་གསང་བ
G691	རྣལ་འབྱོར་ཆེན་པོའི་རྒྱུད་དཔལ་གསང་བ་འདུས་པའི་གཏོར་མའི་ཆོ་ག་ཞེས་པ
G692	སྦྱིན་སྲེག་གི་ཆོ་ག
G693	མདོར་བསྡུས་པའི་སྒྲུབ་ཐབས་ཀྱི་འགྲེལ་པ་རིན་ཆེན་ཕྲེང་བ་ཞེས་བྱ་བ
G694	རིམ་པ་ལྔའི་དོན་མདོར་བཤད་པ་རྣལ་འབྱོར་པའི་ཡིད་འཕྲོག་ཅེས་བྱ་བ
G695	བསྒྲུབ་པའི་སྤྱོད་པ་ལ་འཇུག་པ
G696	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ལྷའི་སྐུ་ལ་བསྟོད་པ་ཞེས་བྱ་བ
G697	བྱང་ཆུབ་སེམས་ཀྱི་འགྲེལ་པའི་རྣམ་པར་བཤད་པ
G698	དད་པ་སྨྲ་བ་ཞེས་བྱ་བའི་བསྟོད་པ
G699	རིམ་པ་ལྔ་པའི་དཀའ་འགྲེལ་ཞེས་བྱ་བ
G700	རིམ་པ་ལྔ་པའི་བཤད་པ་ནོར་བུའི་ཕྲེང་བ་ཞེས་བྱ་བ
G701	རིམ་པ་ལྔའི་དཀའ་འགྲེལ
G702	རིམ་པ་ལྔ་པའི་དཀའ་འགྲེལ་དོན་གསལ་བ་ཞེས་བྱ་བ
G703	རིམ་པ་ལྔའི་དགོངས་འགྲེལ་ཟླ་བའི་འོད་ཟེར་ཞེས་བྱ་བ
G704	སྒྲུབ་ཐབས་མདོར་བྱས་ཀྱི་དཀའ་འགྲེལ
G705	རིམ་པ་ལྔའི་དོན་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བ
G706	སྤྱོད་པ་བསྡུས་པའི་སྒྲོན་མ་ཞེས་བྱ་བ་རྒྱ་ཆེར་བཤད་པ
G707	རྡོ་རྗེ་སེམས་དཔའི་སྒྲུབ་པའི་ཐབས་ཀྱི་བཤད་པ
G708	རིམ་པ་ལྔ་པའི་འགྲེལ་པ་རིམ་པའི་དོན་གསལ་བར་བྱེད་པ་ཞེས་བྱ་བ
G709	དཔལ་གསང་བ་འདུས་པའི་འགྲེལ་པ་མན་ངག་གཏན་དབབ་པ་ཞེས་བྱ་བ
G710	དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་མན་ངག་གི་རྒྱ་མཚོ་ཐིགས་པ
G711	དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་འགྲེལ་པ
G712	རིན་པོ་ཆེའི་ལྗོན་ཤིང་ཞེས་བྱ་བ་གསང་བ་འདུས་པའི་འགྲེལ་པ
G713	དཔལ་གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་ཞེས་བྱ་བ
G714	དཔལ་གསང་བ་འདུས་པའི་རྒྱན་ཞེས་བྱ་བ
G715	ལེའུ་བཅོ་བརྒྱད་པའི་རྣམ་པར་བཤད་པ
G716	ཡང་དག་རིག་བྱེད་ཅེས་བྱ་བ་ཕྱི་མའི་རྒྱུད་ཀྱི་རྣམ་པར་བཤད་པ
G717	གསང་བ་འདུས་པའི་བཤད་སྦྱར་སྙིམ་པའི་མེ་ཏོག་ཅེས་བྱ་བ
G718	དཔལ་གསང་བ་འདུས་པ་རྒྱུད་ཀྱི་རྒྱལ་པོའི་བཤད་པ་ཟླ་བའི་འོད་ཟེར་ཞེས་བྱ་བ
G719	རིམ་པ་གཉིས་པའི་དེ་ཁོ་ན་ཉིད་སྒོམ་པ་ཞེས་བྱ་བའི་ཞལ་གྱི་ལུང
G720	ཞལ་གྱི་ལུང
G721	ཀུན་ཏུ་བཟང་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
G722	ཡན་ལག་བཞི་པའི་སྒྲུབ་ཐབས་ལུན་ཏུ་བཟང་མོ་ཞེས་བྱ་བ
G723	དཔལ་ཧེ་རུ་ཀའི་སྒྲུབ་པའི་ཐབས
G724	དཔལ་ཧེ་རུ་ཀ་སྒྲབ་པའི་ཐབས་ཀྱི་འགྲེལ་པ
G725	གྲོལ་བའི་ཐིག་ལེ་ཞེས་བྱ་བ
G726	བདག་སྒྲུབ་པ་ལ་འཇུག་པ་ཞེས་བྱ་བ
G727	རྗེ་བཙུན་འཕགས་པ་གནོད་འཛིན་ཆུ་དབང་གི་སྒྲུབ་པའི་ཐབས
G728	གསང་བའི་ཛམ་བྷ་ལའི་སྒྲུབ་ཐབས
G729	རྒྱ་ཆེ་བའི་ཛམ་བྷ་ལའི་སྒྲུབ་པའི་ཐབས
G730	སྟང་སྟབས་ཀྱི་བཀོད་པ
G731	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་ཞེས་བྱ་བ
G732	མཛེས་པའི་མེ་ཏོག་ཅེས་བྱ་བ་རིམ་པ་གཉིས་པའི་དེ་ཁོ་ན་ཉིད་བསྒོམ་པ་ཞལ་གྱི་ལུང་གི་འགྲེལ་པ
G733	ཀུན་ཏུ་བཟང་པོའི་སྒྲུབ་པའི་ཐབས་ཀྱི་འགྲེལ་པ
G734	དཔལ་ཀུན་ཏུ་བཟང་པོའི་སྒྲུབ་ཐབས་ཀྱི་འགྲེལ་པ
G735	ཡན་ལག་བཞི་པའི་སྒྲུབ་ཐབས་ཀྱི་རྒྱ་ཆེར་བཤད་པ་སྙིང་པོ་རྙེ་མ་ཞེས་བྱ་བ
G736	གྲོལ་བའི་ཐིག་ལེ་ཞེས་བྱ་བའི་རྣམ་པར་བཤད་པ
G737	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་ཆོ་གའི་འགྲེལ་པ
G738	ཡན་ལག་བཞི་པའི་སྒྲུབ་ཐབས་ཀུན་ཏུ་བཟང་མོ་ཞེས་བྱ་བའི་རྣམ་པར་བཤད་པ
G739	དཔལ་གསང་བ་འདུས་པའི་དཀྱིལ་འཁོར་གྱི་སྒྲུབ་པའི་ཐབས་རྣམ་པར་བཤད་པ
G740	དཔལ་གསང་བ་འདུས་པའི་སྒྲུབ་པའི་ཐབས་དངོས་གྲུབ་འབྱུང་བའི་གཏེར་ཞེས་བྱ་བ
G741	སྦྱོར་བ་བདུན་པ་ཞེས་བྱ་བ་དབང་བཞིའི་རབ་ཏུ་བྱེད་པ
G742	གཏོར་མ་ཆེན་པོའི་ཆོ་ག
G743	མི་ཤིགས་པའི་རིན་པོ་ཆེ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
G744	བདག་གི་དོན་གྲུབ་པར་བྱེད་པ་ཞེས་བྱ་བ་རྣལ་འབྱོར་གྱི་བྱ་བའི་རིམ་པ
G745	སྦྱོར་བ་ཡན་ལག་དྲུག་གི་སྣང་བའི་རིམ་པ
G746	དཔལ་གསང་བ་འདུས་པའི་འཇམ་དཔལ་གྱི་སྒྲུབ་ཐབས
G	ཀུན་ཏུ་བཟང་པོའི་བསྡུས་དོན
G747	དཔལ་གསང་བ་འདུས་པའི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
G748	དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G749	དགའ་བའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
G750	དཔལ་མི་བསྐྱོད་རྡོ་རྗེའི་སྒྲུབ་པའི་ཐབས
G751	དཔལ་གསང་བ་འདུས་པ་རྟོགས་སླ་ཞིང་མདོར་བསྡུས་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G752	དབང་གི་རབ་ཏུ་བྱེད་པ
G753	གསང་བ་འདུས་པའི་དབང་བསྐུར་བའི་ཆོ་ག་མདོར་བསྡུས་པ
G754	ཡན་ལག་བདུན་པ
G755	དེ་ཁོ་ན་ཉིད་རིན་པོ་ཆེ་སྣང་བ
G756	དེ་ཁོ་ན་ཉིད་རིན་པོ་ཆེ་སྣང་བའི་རྣམ་པར་བཤད་པ
G757	རབ་ཏུ་གསལ་བ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
G758	དཔལ་གསང་བ་འདུས་པ་འཇིག་རྟེན་དབང་ཕྱུག་གི་བསྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
G759	ཕགས་པ་སྤྱན་རས་གཟིགས་འཇིག་རྟེན་དབང་ཕྱུག་སྒྲུབ་པའི་ཐབས
G760	དཔལ་གསང་བ་འདུས་པའི་བསྟོད་པ
G761	དེ་ཁོ་ན་ཉིད་བཅུ་པ
G762	རབ་ཏུ་གནས་པའི་ཆོ་ག
G763	བསྟན་པའི་ནོར་ཐམས་ཅད་པ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
G764	ཁྲོ་བོ་བཅུའི་གཏོར་མའི་ཆོ་ག
G765	དབང་བསྐུར་བའི་རབ་ཏུ་བྱེད་པ
G766	སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བའི་འགྲེལ་པ
G767	སྦྱོར་བ་ཡན་ལག་དྲུག་པ་ཞེས་བྱ་བ
G768	ཇམ་པའི་རྡོ་རྗེ་མཆོད་པའི་ཆོ་ག
G769	ཨརགྷའི་ཆོ་ག
G770	རབ་ཏུ་གནས་པའི་ཆོ་ག
G771	རབ་ཏུ་གནས་པའི་ཆོ་ག་ཞེས་བྱ་བ
G772	ཐ་མའི་མཆོད་པའི་ཆོ་ག
G773	དཔལ་ངན་སོང་ཐམས་ཅད་ཡོངས་སུ་སྦྱོང་བའི་རྒྱུད་ལས་ཕྱུང་བ་སྤྱན་མའི་ངན་སོང་སྦྱོང་བའི་ཆོ་ག
G774	རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གསང་བ་འདུས་པའི་རྣམ་པར་བཤད་པ
G775	གསང་བ་འདུས་པའི་རྒྱུད་ཀྱི་གླེང་གཞི་བླ་མའི་མན་ངག་གི་བཤད་པ
G776	དཔལ་བདེ་བ་ཆེན་པོའི་སྒྲུབ་ཐབས
G777	དཔལ་བདེ་བ་ཆེན་པོ་སྒྲུབ་པའི་ཐབས་རྣམ་པར་བཤད་པ
G778	དཔལ་གསང་བ་འདུས་པ་ལྷན་ཅིག་སྐྱེས་པའི་སྒྲུབ་ཐབས
G779	རྒྱུད་ཀྱི་རྒྱལ་པོ་དཔལ་གསང་བ་འདུས་པའི་འགྲེལ་པ
G780	ལྷ་མོ་བཞིས་ཡོངས་སུ་ཞུས་པའི་རྣམ་པར་བཤད་པ་མན་ངག་རྒྱས་པ་ཞེས་བྱ་བ
G781	ལྷ་མོ་བཞིས་ཡོངས་སུ་ཞུས་པའི་རྣམ་པར་བཤད་པ
G782	དཔལ་གསང་བ་འདུས་པའི་དཀའ་འགྲེལ
G783	དཔལ་གཤིན་རྗེ་གཤེད་ཀྱི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་ལྷན་ཅིག་སྐྱེས་པའི་སྣང་བ་ཞེས་བྱ་བ
G784	དཔལ་གཤིན་རྗེའི་དགྲ་ནག་པོའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་ཆེན་པོའི་དཀའ་འགྲེལ་རིན་པོ་ཆེའི་སྒྲོན་མ་ཞེས་བྱ་བ
G785	གཤིན་རྗེ་གཤེད་ནག་པོའི་རྒྱུད་ཀྱི་རྒྱལ་པོ་མངོན་པར་མཐོང་བ་ལམ་གྱི་སྒྲོན་མ་ཞེས་བྱ་བའི་རྒྱ་ཆེར་བཤད་པ
G786	གཤིན་རྗེ་གཤེད་ནག་པོའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ་རིན་པོ་ཆེའི་འཕྲེང་བ་ཞེས་བྱ་བ
G787	གཤིན་རྗེའི་དགྲ་ནག་པོའི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ
G788	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G789	གཤིན་རྗེ་གཤེད་ནག་པོའི་དཀྱིལ་འཁོར་གྱི་སྒྲུབ་ཐབས
G790	རྡོ་རྗེ་དབྱངས་ཅན་མའི་བསྟོད་པ
G791	གཤིན་རྗེ་དགྲའི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་གཤིན་རྗེ་གཤེད་འབྱུང་བ་ཞེས་བྱ་བ
G792	མཆོད་རྟེན་བསྒྲུབ་པའི་ཆོ་ག་མདོར་བསྡུས་པ
G793	བསྲུང་བའི་འཁོར་ལོ་སྒྲུབ་པའི་ཐབས
G794	གཤིན་རྗེ་གཤེད་ནག་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
G795	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས
G796	དཔལ་གཤིན་རྗེའི་གཤེད་དགྲ་ནག་པོའི་སྒྲུབ་ཐབས་འཁོར་ལོའི་དོན་རྒྱས་པར་བཤད་པ་དང་བཅས་པ
G797	གཤིན་རྗེའི་གཤེད་ནག་པོ་སྒྲུབ་པའི་ཐབས
G798	མཎཌལ་གྱི་ཆོ་ག
G799	མཎཌལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ
G800	གཤིན་རྗེའི་དགྲ་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཀུ་མུ་ད་ཁ་བྱེ་བ་ཞེས་བྱ་བ
G801	དཔལ་གཤིན་རྗེ་གཤེད་ནག་པོ་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
G802	ཁྲོ་བོའི་རྒྱལ་པོ་གཤིན་རྗེ་གཤེད་ནག་པོ་དུས་མཐར་ཕྱིན་པའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G803	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G804	གཤིན་རྗེ་གཤེད་རྣམ་པར་སྣང་མཛད་ཀྱི་མངོན་པར་རྟོགས་པ་ཞེས་བྱ་བ
G805	གཤིན་རྗེ་གཤེད་རིན་ཆེན་འབྱུང་ལྡན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G806	ཨོད་དཔག་ཏུ་མེད་པའི་སྙིང་པོ་འདོད་ཆགས་གཤིན་རྗེ་གཤེད་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
G807	གཤིན་རྗེ་གཤེད་རྡོ་རྗེ་རྣོན་པོ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
G808	རྡོ་རྗེ་སེམས་མ་བདེ་བའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G809	རྡོ་རྗེ་མཁའ་འགྲོ་མ་རྣལ་འབྱོར་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G810	རྡོ་རྗེ་བདེ་རྒྱས་དབྱངས་ཅན་མའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G811	ལས་ཀྱི་རྡོ་རྗེ་གཽ་རའིའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G812	རྗེ་བཙུན་འཇམ་དཔལ་གཤིན་རྗེ་གཤེད་མཆོད་པའི་ཆོ་གའི་རིམ་པ་ཞེས་བྱ་བ
G813	སངས་རྒྱས་གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
G814	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
G815	ཁྲོ་བོ་ཐོ་བ་གཤིན་རྗེ་གཤེད་ཀྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G816	དབྱུག་པ་གཤིན་རྗེ་གཤེད་རྣམ་པར་འཇོམས་པ་ཞེས་བྱ་བའི་སྒྲུབ་ཐབས
G817	རལ་གྲི་གཤིན་རྗེ་གཤེད་གཏུམ་པོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G818	པདམ་གཤིན་རྗེ་གཤེད་ཤེས་རབ་བདེ་བ་ཅན་གྱི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G819	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྒྲུབ་ཐབས་ཀྱི་མཎཌལ་གྱི་ཆོ་ག་ཞེས་བྱ་བ
G820	ཆོས་ཀྱི་སྐུའི་སྣང་བའི་ཆོ་ག་ཞེས་བྱ་བ
G821	གཤིན་རྗེ་གཤེད་ཀྱི་རོ་བསྲེག་གི་ཆོ་ག་ཞེས་བྱ་བ
G822	ཚོགས་ཀྱི་འཁོར་ལོའི་ཆོ་ག་ཞེས་བྱ་བ
G823	གཤིན་རྗེ་གཤེད་ནག་པོའི་མངོན་པར་རྟོགས་པའི་རིམ་པ
G824	དཔལ་གཤིན་རྗེ་གཤེད་ནག་པོའི་འཁོར་ལོ་བྲི་བའི་ཆོ་ག
G825	གཤིན་རྗེ་དགྲ་ནག་པོ་ཞེས་བྱ་བའི་སྒྲུབ་པའི་ཐབས
G826	གཤིན་རྗེ་གཤེད་ཀྱི་སྒྲུབ་པའི་ཐབས
G827	ནག་པོ་ཞལ་གསུམ་ཕྱག་དྲུག་པའི་སྒྲུབ་ཐབས
G828	ཨོ་མའི་སྒྲུབ་པའི་ཐབས
G829	གཤིན་རྗེ་གཤེད་ནག་པོའི་འཁོར་ལོའི་མན་ངག
G831	གཤིན་རྗེ་གཤེད་ནག་པོའི་སྦྱིན་སྲེག་གི་ཆོ་ག
G832	ཆི་བདག་ཡི་དྭགས་རྒྱལ་པོའི་སྒྲུབ་ཐབས
G832	གཤིན་རྗེ་གཤེད་ཀྱི་ལག་པའི་མཆོད་པ
G833	གཤིན་རྗེ་གཤེད་ནག་པོའི་དཀྱིལ་འཁོར་གྱི་བསྟོད་པ་ཞེས་བྱ་བ
G834	རྡོ་རྗེ་འཛིན་པས་གཤིན་རྗེ་གཤེད་པོ་ལ་བསྟོད་པའི་རྒྱུད
G835	གཏོར་མ་ཉེ་བར་སྦྱང་བ
G836	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ
G837	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་རྒྱུད་ཀྱི་མདོར་བཤད་པ་༄ཞེས་བྱ་བ
G838	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་རྒྱུད་ཀྱི་མདོ་མདོར་བཤད་པ་ཞེས་བྱ་བ
G839	རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་རྒྱུད་ཀྱི་དཀའ་འགྲེལ
G840	མ་ཧེའི་ཞལ་གྱི་སྒྲུབ་པའི་ཐབས
G841	རྡོ་རྗེས་འཇིགས་བྱེད་ཞལ་གཅིག་ཕྱག་གཉིས་པའི་སྒྲུབ་པའི་ཐབས
G842	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་པའི་ཐབས་མདོར་བསྡུས་པ
G844	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་བསྙེན་པའི་ཆོ་ག་སྒྲུབ་པའི་ཆོ་ག
G845	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་རྟོག་པ་ལས་འཁོར་ལོ་བསྐོར་བའི་ལས་དྲག་པོ་ཕྱོགས་གཅིག་པ
G846	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་སྒྲུབ་པའི་ཐབས་ལས་བྱ་བའི་ཆོ་ག་སེམས་དཔའ་བསྡུས་པ
G847	རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་ཐབས
G848	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་སྒྲུབ་པའི་ཐབས་དང་ལས་བྱ་བའི་ཆོ་ག་སེམས་དཔའ་བསྡུས་པ
G849	དཀྱིལ་འཁོར་གྱི་ཆོ་ག
G850	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་པའི་ཐབས་ཞེས་བྱ་བ
G851	རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་ཚོགས་ཀྱི་འཁོར་ལོ་ཞེས་བྱ་བ
G852	ཙཚུ་ཙཚུནད་རའི་རྟོག་པ
G853	རྡོ་རྗེ་འཇིགས་བྱེད་ཆེན་པོའི་སྦྱིན་སྲེག་གི་ཆོ་ག་ཞེས་བྱ་བ
G854	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་ཐབས
G855	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་ཐབས
G856	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་གཏོར་མའི་ཆོ་ག
G857	བྷེཨེ་ར་བའི་ཞི་བའི་བྱ་བ་བདུན་པ
G858	དྲག་པོའི་ལས་ཀྱི་བྱ་བ་བདུན་པ
G859	དཔལ་གཤིན་རྗེ་གཤེད་ནག་པོའི་འཁོར་ལོའི་ཆོ་ག
G860	ལས་ཀྱི་གྲོགས་ཀྱིས་བྱེད་པ
G861	དམ་རྫས་རྨད་དུ་བསྒྱུར་ཏེ་བསྟེན་པའི་ཆོ་ག
G862	གཏམ་རྒྱུད་ཀྱི་རྟོག་པ
G863	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་ཕྱག་མཚན་གྱི་རྣམ་པར་དག་པ་ཞེས་བྱ་བ
G864	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཆེན་པོའི་སྒྲུབ་ཐབས
G865	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་བསྟོད་པ
G866	དེ་ཉིད་ལྔ་པའི་བསྟོད་པ
G867	ཇིགས་བྱེད་ཀྱི་བསྟོད་པ
G868	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་བསྟོད་པ
G869	ཇམ་དཔལ་འཇིགས་བྱེད་མཚན་གྱི་བསྟོད་པ
G870	དཔལ་གཤིན་རྗེ་གཤེད་པོའི་རྩ་བའི་སྔགས་དོན་རྡོ་རྗེ་རབ་ཏུ་འབྱེད་པ་ཞེས་བྱ་བ
G871	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་སྒྲུབ་པའི་ཐབས་རྡོ་རྗེ་འོད་ཅེས་བྱ་བ
G872	དཔལ་རྡོ་རྗེ་འཇིགས་བྱེད་ཀྱི་དཀྱིལ་འཁོར་གྱི་ཆོ་ག་གསལ་བ་ཞེས་བྱ་བ
G873	གཤིན་རྗེ་གཤེད་ནག་པོ་གདོང་དྲུག་པའི་འཁོར་ལོའི་སྒྲུབ་ཐབས་ཞེས་བྱ་བ
G874	གཤིན་རྗེའི་དགྲ་བསྒྲུབ་པའི་འཁོར་ལོའི་སྒྲུབ་ཐབས
G875	ཇམ་དཔལ་གྱི་རྟོག་པ་དམ་རྫས་གསང་བ་རྨད་དུ་བསྒྱུར་ཏེ་བསྟེན་པའི་ཆོ་ག
G876	གཤིན་རྗེ་གཤེད་དམར་པོའི་སྒྲུབ་ཐབས
G877	གཤིན་རྗེ་མཐར་བྱེད་དམར་པོའི་སྒྲུབ་ཐབས
G878	ཨོད་གསལ་འཆར་བའི་རིམ་པ
G879	ཤིན་ཏུ་སྤྲོས་པ་མེད་པ་དེ་ཁོ་ན་ཉིད་ཀྱི་མན་ངག་ཅེས་བྱ་བ
G880	གཤིན་རྗེ་གཤེད་དམར་པོའི་སྒྲུབ་ཐབས་ཀྱི་ཆོ་ག
G881	གཤིན་རྗེ་གཤེད་ཀྱི་འཕྲུལ་འཁོར་གྱི་ཕྲེང་བ
G882	དཔལ་གཤིན་རྗེ་གཤེད་དམར་པོའི་སྒྲུབ་ཐབས
